id,room_type,price,minimum_nights,number_of_reviews
0,Private room,58,30,0
1,Entire home/apt,150,30,48
2,Entire home/apt,100,30,13
3,Entire home/apt,100,3,1
4,Private room,45,7,2
5,Private room,85,1,135
6,Entire home/apt,180,4,20
7,Entire home/apt,190,5,0
8,Private room,55,3,58
9,Private room,250,2,0
10,Entire home/apt,229,3,1
11,Entire home/apt,300,3,108
12,Entire home/apt,250,3,1
13,Entire home/apt,200,6,4
14,Private room,60,21,2
15,Entire home/apt,150,1,0
16,Entire home/apt,99,30,8
17,Private room,160,3,7
18,Private room,100,1,0
19,Private room,62,30,1
20,Entire home/apt,350,1,0
21,Entire home/apt,90,4,1
22,Entire home/apt,128,7,0
23,Private room,65,3,0
24,Private room,150,1,17
25,Entire home/apt,500,2,14
26,Entire home/apt,120,30,1
27,Entire home/apt,160,7,5
28,Entire home/apt,150,30,1
29,Entire home/apt,175,30,0
30,Entire home/apt,175,90,0
31,Entire home/apt,1100,6,4
32,Entire home/apt,250,2,3
33,Private room,90,1,6
34,Entire home/apt,150,30,2
35,Entire home/apt,230,2,13
36,Entire home/apt,400,3,0
37,Entire home/apt,145,4,13
38,Entire home/apt,120,3,39
39,Entire home/apt,250,2,45
40,Entire home/apt,250,5,7
41,Entire home/apt,200,2,23
42,Private room,140,2,76
43,Entire home/apt,2695,1,0
44,Private room,130,1,0
45,Entire home/apt,975,4,8
46,Entire home/apt,450,5,5
47,Private room,175,3,1
48,Private room,90,1,3
49,Entire home/apt,165,1,141
50,Entire home/apt,188,10,1
51,Entire home/apt,60,14,12
52,Entire home/apt,150,30,0
53,Entire home/apt,117,30,4
54,Private room,140,4,2
55,Private room,200,7,41
56,Entire home/apt,235,1,0
57,Entire home/apt,850,3,27
58,Entire home/apt,239,30,0
59,Entire home/apt,244,30,1
60,Entire home/apt,450,1,1
61,Entire home/apt,250,3,164
62,Entire home/apt,389,3,8
63,Entire home/apt,250,2,33
64,Private room,60,7,6
65,Entire home/apt,89,6,48
66,Entire home/apt,225,4,0
67,Entire home/apt,200,4,7
68,Entire home/apt,125,7,4
69,Entire home/apt,173,2,78
70,Private room,55,4,2
71,Entire home/apt,153,1,7
72,Entire home/apt,182,29,2
73,Entire home/apt,117,30,1
74,Entire home/apt,799,3,6
75,Private room,90,3,4
76,Entire home/apt,130,30,1
77,Private room,100,1,3
78,Private room,85,5,1
79,Entire home/apt,1300,5,28
80,Entire home/apt,299,2,41
81,Entire home/apt,280,2,29
82,Private room,120,3,9
83,Private room,80,3,51
84,Private room,150,1,0
85,Entire home/apt,110,5,3
86,Private room,90,2,1
87,Private room,499,3,0
88,Entire home/apt,200,3,0
89,Private room,300,1,12
90,Private room,100,3,6
91,Entire home/apt,194,29,0
92,Private room,199,1,2
93,Entire home/apt,128,1,4
94,Private room,70,2,24
95,Private room,55,3,8
96,Entire home/apt,2590,1,8
97,Entire home/apt,200,2,0
98,Entire home/apt,334,30,0
99,Shared room,65,4,0
100,Entire home/apt,195,5,7
101,Entire home/apt,275,1,3
102,Private room,80,1,29
103,Entire home/apt,80,30,10
104,Private room,90,1,65
105,Private room,60,1,18
106,Entire home/apt,800,2,36
107,Entire home/apt,170,30,0
108,Shared room,55,1,13
109,Private room,100,1,4
110,Entire home/apt,150,2,121
111,Entire home/apt,94,1,23
112,Private room,70,5,1
113,Private room,70,3,0
114,Private room,80,1,17
115,Private room,100,7,18
116,Private room,119,1,42
117,Entire home/apt,347,3,4
118,Private room,78,3,11
119,Entire home/apt,120,1,1
120,Entire home/apt,360,6,0
121,Entire home/apt,169,3,7
122,Entire home/apt,225,2,17
123,Entire home/apt,295,6,0
124,Private room,160,2,11
125,Entire home/apt,450,1,9
126,Entire home/apt,225,2,7
127,Private room,139,3,10
128,Private room,75,4,146
129,Entire home/apt,67,180,4
130,Entire home/apt,150,1,2
131,Entire home/apt,450,7,6
132,Private room,75,2,46
133,Entire home/apt,302,30,0
134,Entire home/apt,199,30,0
135,Private room,78,2,171
136,Private room,198,2,30
137,Private room,100,1,0
138,Private room,40,2,1
139,Entire home/apt,100,29,1
140,Entire home/apt,150,2,2
141,Entire home/apt,300,2,4
142,Entire home/apt,150,31,7
143,Private room,60,2,8
144,Private room,110,2,0
145,Entire home/apt,99,30,13
146,Entire home/apt,190,28,28
147,Entire home/apt,300,3,30
148,Entire home/apt,90,30,4
149,Shared room,400,2,0
150,Entire home/apt,700,1,0
151,Private room,90,14,0
152,Entire home/apt,200,1,34
153,Entire home/apt,195,3,25
154,Entire home/apt,230,2,6
155,Entire home/apt,150,6,23
156,Private room,61,10,0
157,Entire home/apt,100,1,11
158,Entire home/apt,245,30,1
159,Private room,80,3,0
160,Entire home/apt,200,4,6
161,Private room,75,2,3
162,Entire home/apt,115,30,3
163,Private room,125,1,4
164,Entire home/apt,795,3,21
165,Entire home/apt,131,30,2
166,Entire home/apt,95,2,74
167,Private room,98,1,51
168,Entire home/apt,120,5,20
169,Private room,35,1,1
170,Private room,100,1,0
