id,room_type,price,minimum_nights,number_of_reviews
0,Entire home/apt,78,2,5
1,Entire home/apt,250,30,0
2,Entire home/apt,81,7,46
3,Private room,49,2,6
4,Private room,300,2,1
5,Private room,52,3,0
6,Entire home/apt,375,30,0
7,Entire home/apt,258,1,39
8,Private room,45,1,30
9,Entire home/apt,374,1,139
10,Private room,100,1,13
11,Entire home/apt,150,5,4
12,Entire home/apt,200,2,152
13,Entire home/apt,113,2,29
14,Private room,60,10,0
15,Entire home/apt,159,1,12
16,Entire home/apt,166,2,0
17,Entire home/apt,69,2,3
18,Entire home/apt,200,4,17
19,Entire home/apt,275,1,3
20,Private room,59,5,12
21,Entire home/apt,615,2,128
22,Entire home/apt,132,1,4
23,Shared room,50,3,1
24,Private room,59,20,0
25,Shared room,100,4,1
26,Entire home/apt,300,30,5
27,Private room,50,5,1
28,Entire home/apt,319,4,0
29,Entire home/apt,269,2,63
30,Private room,180,3,3
31,Entire home/apt,300,2,16
32,Entire home/apt,180,3,3
33,Entire home/apt,300,1,0
34,Entire home/apt,350,3,3
35,Private room,50,7,20
36,Entire home/apt,185,3,11
37,Entire home/apt,109,4,62
38,Private room,150,3,27
39,Entire home/apt,300,1,16
40,Entire home/apt,100,3,28
41,Entire home/apt,280,4,3
42,Entire home/apt,191,2,44
43,Private room,357,160,5
44,Private room,89,4,17
45,Private room,85,2,41
46,Entire home/apt,129,7,0
47,Entire home/apt,225,8,40
48,Entire home/apt,180,6,0
49,Entire home/apt,135,30,3
50,Private room,71,7,0
51,Entire home/apt,115,2,5
52,Entire home/apt,327,2,1
53,Entire home/apt,311,1,73
54,Entire home/apt,250,1,8
55,Entire home/apt,95,3,8
56,Private room,44,4,0
57,Private room,90,1,6
58,Private room,105,44,4
59,Entire home/apt,200,30,0
60,Entire home/apt,199,2,28
61,Entire home/apt,199,1,23
62,Entire home/apt,599,30,39
63,Private room,100,1,96
64,Entire home/apt,169,1,1
65,Private room,49,2,52
66,Entire home/apt,150,4,5
67,Entire home/apt,257,3,138
68,Entire home/apt,400,2,5
69,Shared room,30,2,4
70,Entire home/apt,150,4,13
71,Entire home/apt,751,2,0
72,Entire home/apt,128,29,0
73,Private room,150,3,31
74,Private room,100,2,9
75,Private room,50,1,0
76,Entire home/apt,419,3,1
77,Entire home/apt,127,3,26
78,Private room,100,1,1
79,Entire home/apt,260,3,0
80,Entire home/apt,142,2,23
81,Entire home/apt,125,3,50
82,Entire home/apt,150,5,0
83,Private room,80,2,9
84,Entire home/apt,594,24,6
85,Entire home/apt,225,2,202
86,Private room,110,1,25
87,Entire home/apt,350,30,6
88,Entire home/apt,155,2,96
89,Entire home/apt,185,30,1
90,Private room,85,2,23
91,Entire home/apt,450,3,13
92,Private room,65,1,181
93,Private room,125,2,7
94,Entire home/apt,110,2,30
95,Entire home/apt,250,2,4
96,Entire home/apt,180,1,1
97,Entire home/apt,140,2,49
98,Entire home/apt,125,2,91
99,Private room,49,1,1
100,Entire home/apt,275,1,105
101,Entire home/apt,215,2,5
102,Private room,58,1,122
103,Entire home/apt,187,30,6
104,Entire home/apt,200,2,0
105,Private room,48,3,1
106,Entire home/apt,240,3,0
107,Entire home/apt,349,6,10
108,Entire home/apt,160,1,1
109,Private room,120,1,0
110,Shared room,75,2,30
111,Private room,45,2,17
112,Private room,160,1,0
113,Entire home/apt,350,3,5
114,Entire home/apt,150,3,54
115,Entire home/apt,100,2,18
116,Entire home/apt,350,2,2
117,Entire home/apt,325,2,44
118,Entire home/apt,150,1,10
119,Private room,100,1,0
120,Entire home/apt,325,1,29
121,Private room,69,5,0
122,Entire home/apt,319,2,72
123,Entire home/apt,500,4,0
124,Entire home/apt,180,4,33
125,Private room,50,2,53
126,Private room,85,1,4
127,Entire home/apt,399,1,4
128,Entire home/apt,387,1,0
129,Entire home/apt,95,5,13
