neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
Upper West Side,40.79901,-73.96135,Private room,58,30,0
Upper West Side,40.78,-73.98249,Entire home/apt,150,30,48
Washington Heights,40.85604,-73.93469,Entire home/apt,100,30,13
Harlem,40.82501,-73.95125,Entire home/apt,100,3,1
Harlem,40.80131,-73.9579,Private room,45,7,2
Murray Hill,40.7474,-73.97847,Private room,85,1,135
Midtown,40.75513,-73.96446,Entire home/apt,180,4,20
Harlem,40.80389,-73.95712,Entire home/apt,190,5,0
Harlem,40.82624,-73.9434,Private room,55,3,58
Murray Hill,40.746,-73.9777,Private room,250,2,0
Hell's Kitchen,40.76123,-73.99084,Entire home/apt,229,3,1
West Village,40.73303,-74.00237,Entire home/apt,300,3,108
Chelsea,40.74415,-73.99483,Entire home/apt,250,3,1
Upper East Side,40.76703,-73.95553,Entire home/apt,200,6,4
Harlem,40.8041,-73.956,Private room,60,21,2
East Village,40.72852,-73.98705,Entire home/apt,150,1,0
Upper East Side,40.77427,-73.95325,Entire home/apt,99,30,8
Upper East Side,40.76236,-73.96482,Private room,160,3,7
Theater District,40.75569,-73.98933,Private room,100,1,0
East Village,40.72841,-73.98615,Private room,62,30,1
East Village,40.73259,-73.98681,Entire home/apt,350,1,0
Upper West Side,40.78885,-73.98013,Entire home/apt,90,4,1
East Harlem,40.79658,-73.93284,Entire home/apt,128,7,0
Washington Heights,40.84176,-73.93738,Private room,65,3,0
Harlem,40.81195,-73.95274,Private room,150,1,17
Midtown,40.74823,-73.98697,Entire home/apt,500,2,14
Upper West Side,40.78334,-73.97927,Entire home/apt,120,30,1
Upper West Side,40.77918,-73.9874,Entire home/apt,160,7,5
Theater District,40.76369,-73.98476,Entire home/apt,150,30,1
Midtown,40.75032,-73.97143,Entire home/apt,175,30,0
West Village,40.73183,-74.00649,Entire home/apt,175,90,0
West Village,40.73303,-74.005,Entire home/apt,1100,6,4
Hell's Kitchen,40.76183,-73.9916,Entire home/apt,250,2,3
Midtown,40.75976,-73.97178,Private room,90,1,6
Gramercy,40.73568,-73.98062,Entire home/apt,150,30,2
Upper East Side,40.76917,-73.95367,Entire home/apt,230,2,13
Lower East Side,40.72046,-73.99237,Entire home/apt,400,3,0
Chinatown,40.71515,-73.99863,Entire home/apt,145,4,13
Chelsea,40.74453,-73.99988,Entire home/apt,120,3,39
Chelsea,40.74011,-73.99829,Entire home/apt,250,2,45
Gramercy,40.73711,-73.98573,Entire home/apt,250,5,7
Chinatown,40.71759,-73.9922,Entire home/apt,200,2,23
Midtown,40.74624,-73.98648,Private room,140,2,76
Upper West Side,40.7681,-73.98377,Entire home/apt,2695,1,0
Kips Bay,40.73763,-73.97284,Private room,130,1,0
Lower East Side,40.72081,-73.98461,Entire home/apt,975,4,8
Upper East Side,40.7843,-73.95745,Entire home/apt,450,5,5
Greenwich Village,40.73357,-73.99767,Private room,175,3,1
East Village,40.72591,-73.97947,Private room,90,1,3
Upper East Side,40.77654,-73.94904,Entire home/apt,165,1,141
Stuyvesant Town,40.73341,-73.98,Entire home/apt,188,10,1
Morningside Heights,40.8049,-73.96315,Entire home/apt,60,14,12
SoHo,40.72088,-74.00318,Entire home/apt,150,30,0
Upper West Side,40.79191,-73.97322,Entire home/apt,117,30,4
Upper East Side,40.76665,-73.95398,Private room,140,4,2
Washington Heights,40.84347,-73.93978,Private room,200,7,41
Lower East Side,40.72013,-73.98769,Entire home/apt,235,1,0
West Village,40.73143,-74.00338,Entire home/apt,850,3,27
Midtown,40.76554,-73.98289,Entire home/apt,239,30,0
Upper West Side,40.78892,-73.97402,Entire home/apt,244,30,1
Greenwich Village,40.73313,-73.9971,Entire home/apt,450,1,1
Chelsea,40.74405,-73.99915,Entire home/apt,250,3,164
Midtown,40.75282,-73.96688,Entire home/apt,389,3,8
Midtown,40.75606,-73.97004,Entire home/apt,250,2,33
East Village,40.72283,-73.98356,Private room,60,7,6
East Harlem,40.79889,-73.94489,Entire home/apt,89,6,48
Flatiron District,40.73996,-73.98972,Entire home/apt,225,4,0
Hell's Kitchen,40.76712,-73.98789,Entire home/apt,200,4,7
East Village,40.72792,-73.98718,Entire home/apt,125,7,4
Harlem,40.82476,-73.94332,Entire home/apt,173,2,78
Morningside Heights,40.80868,-73.95801,Private room,55,4,2
Midtown,40.74636,-73.98681,Entire home/apt,153,1,7
Financial District,40.70831,-74.00619,Entire home/apt,182,29,2
Upper East Side,40.77789,-73.95473,Entire home/apt,117,30,1
Tribeca,40.71979,-74.00407,Entire home/apt,799,3,6
Inwood,40.86364,-73.92835,Private room,90,3,4
Theater District,40.7607,-73.98347,Entire home/apt,130,30,1
Upper East Side,40.77877,-73.94824,Private room,100,1,3
Lower East Side,40.71757,-73.99028,Private room,85,5,1
West Village,40.73301,-74.00268,Entire home/apt,1300,5,28
Hell's Kitchen,40.76008,-73.98846,Entire home/apt,299,2,41
East Village,40.72639,-73.98875,Entire home/apt,280,2,29
Upper West Side,40.77961,-73.98441,Private room,120,3,9
SoHo,40.72822,-74.00429,Private room,80,3,51
Theater District,40.75829,-73.98833,Private room,150,1,0
Lower East Side,40.71536,-73.98951,Entire home/apt,110,5,3
Harlem,40.80199,-73.95779,Private room,90,2,1
Midtown,40.75225,-73.97177,Private room,499,3,0
Upper East Side,40.76833,-73.96156,Entire home/apt,200,3,0
Theater District,40.7585,-73.98221,Private room,300,1,12
Greenwich Village,40.72844,-74.00025,Private room,100,3,6
Murray Hill,40.7473,-73.97603,Entire home/apt,194,29,0
Chelsea,40.74889,-73.99656,Private room,199,1,2
Chelsea,40.75044,-73.99665,Entire home/apt,128,1,4
Upper East Side,40.76996,-73.9539,Private room,70,2,24
Harlem,40.82416,-73.94623,Private room,55,3,8
West Village,40.73726,-74.00085,Entire home/apt,2590,1,8
East Village,40.72384,-73.98791,Entire home/apt,200,2,0
Midtown,40.74875,-73.98675,Entire home/apt,334,30,0
Kips Bay,40.74411,-73.98011,Shared room,65,4,0
West Village,40.73612,-74.00591,Entire home/apt,195,5,7
West Village,40.73264,-74.0062,Entire home/apt,275,1,3
East Harlem,40.80714,-73.93747,Private room,80,1,29
Hell's Kitchen,40.75591,-73.99499,Entire home/apt,80,30,10
Upper East Side,40.77081,-73.95216,Private room,90,1,65
Washington Heights,40.84377,-73.93666,Private room,60,1,18
SoHo,40.72345,-73.99943,Entire home/apt,800,2,36
Upper West Side,40.7894,-73.97381,Entire home/apt,170,30,0
East Harlem,40.79966,-73.94191,Shared room,55,1,13
Theater District,40.75628,-73.98356,Private room,100,1,4
Lower East Side,40.71867,-73.98612,Entire home/apt,150,2,121
Harlem,40.81618,-73.94517,Entire home/apt,94,1,23
Midtown,40.75294,-73.97105,Private room,70,5,1
Two Bridges,40.71155,-73.99712,Private room,70,3,0
Harlem,40.80252,-73.9547,Private room,80,1,17
East Harlem,40.78719,-73.95201,Private room,100,7,18
SoHo,40.72513,-74.00329,Private room,119,1,42
Midtown,40.75508,-73.96707,Entire home/apt,347,3,4
Upper East Side,40.76965,-73.95326,Private room,78,3,11
Harlem,40.80819,-73.94315,Entire home/apt,120,1,1
Upper West Side,40.79282,-73.97353,Entire home/apt,360,6,0
East Harlem,40.80038,-73.94602,Entire home/apt,169,3,7
West Village,40.73692,-74.00531,Entire home/apt,225,2,17
Upper East Side,40.77891,-73.9484,Entire home/apt,295,6,0
Gramercy,40.73568,-73.97998,Private room,160,2,11
East Harlem,40.79618,-73.94142,Entire home/apt,450,1,9
Upper East Side,40.76767,-73.95609,Entire home/apt,225,2,7
Theater District,40.76155,-73.98619,Private room,139,3,10
Hell's Kitchen,40.76454,-73.99114,Private room,75,4,146
Washington Heights,40.83355,-73.93839,Entire home/apt,67,180,4
Harlem,40.80872,-73.94228,Entire home/apt,150,1,2
Harlem,40.8014,-73.95469,Entire home/apt,450,7,6
Harlem,40.80713,-73.9542,Private room,75,2,46
East Village,40.72256,-73.98544,Entire home/apt,302,30,0
Midtown,40.75241,-73.97081,Entire home/apt,199,30,0
Upper West Side,40.78936,-73.97502,Private room,78,2,171
Midtown,40.75368,-73.97358,Private room,198,2,30
Battery Park City,40.70515,-74.01851,Private room,100,1,0
Washington Heights,40.84198,-73.93816,Private room,40,2,1
Financial District,40.70825,-74.00482,Entire home/apt,100,29,1
Kips Bay,40.74229,-73.98165,Entire home/apt,150,2,2
SoHo,40.71927,-73.99943,Entire home/apt,300,2,4
Upper East Side,40.77919,-73.95182,Entire home/apt,150,31,7
Washington Heights,40.84232,-73.93772,Private room,60,2,8
Washington Heights,40.83279,-73.94174,Private room,110,2,0
Upper East Side,40.77528,-73.95238,Entire home/apt,99,30,13
Upper West Side,40.7886,-73.97553,Entire home/apt,190,28,28
Lower East Side,40.7196,-73.98133,Entire home/apt,300,3,30
Midtown,40.75377,-73.96609,Entire home/apt,90,30,4
Hell's Kitchen,40.76536,-73.98866,Shared room,400,2,0
West Village,40.73752,-74.00113,Entire home/apt,700,1,0
East Village,40.73123,-73.98655,Private room,90,14,0
Chelsea,40.74303,-73.99727,Entire home/apt,200,1,34
East Harlem,40.79508,-73.93256,Entire home/apt,195,3,25
Financial District,40.7057,-74.01221,Entire home/apt,230,2,6
Upper East Side,40.76883,-73.95353,Entire home/apt,150,6,23
Upper West Side,40.77769,-73.97953,Private room,61,10,0
East Harlem,40.79078,-73.94547,Entire home/apt,100,1,11
Gramercy,40.7382,-73.98301,Entire home/apt,245,30,1
Harlem,40.81173,-73.94213,Private room,80,3,0
East Harlem,40.80589,-73.9414,Entire home/apt,200,4,6
Lower East Side,40.71934,-73.98172,Private room,75,2,3
Hell's Kitchen,40.76476,-73.99453,Entire home/apt,115,30,3
Lower East Side,40.72173,-73.9918,Private room,125,1,4
Chelsea,40.74903,-73.99198,Entire home/apt,795,3,21
Financial District,40.70563,-74.01106,Entire home/apt,131,30,2
East Harlem,40.81357,-73.93575,Entire home/apt,95,2,74
Morningside Heights,40.81454,-73.96086,Private room,98,1,51
East Harlem,40.7895,-73.9441,Entire home/apt,120,5,20
East Harlem,40.80023,-73.93822,Private room,35,1,1
Upper West Side,40.80092,-73.96195,Private room,100,1,0
Murray Hill,40.74735,-73.97671,Entire home/apt,149,3,8
Hell's Kitchen,40.76403,-73.98913,Shared room,75,1,7
Upper West Side,40.77593,-73.97699,Entire home/apt,90,4,22
East Village,40.72709,-73.98582,Entire home/apt,150,1,8
East Village,40.72783,-73.98015,Entire home/apt,250,5,3
Upper West Side,40.80078,-73.9641,Private room,60,4,11
Upper East Side,40.77686,-73.95084,Private room,65,5,7
East Village,40.73303,-73.98955,Entire home/apt,225,3,0
East Harlem,40.79234,-73.94145,Entire home/apt,120,5,9
East Village,40.72369,-73.9753,Entire home/apt,103,2,29
Upper East Side,40.77166,-73.94665,Entire home/apt,150,2,2
East Harlem,40.78722,-73.94482,Shared room,40,22,1
Financial District,40.70819,-74.00662,Entire home/apt,200,3,37
Murray Hill,40.74956,-73.97714,Entire home/apt,175,30,1
Upper West Side,40.80237,-73.96695,Entire home/apt,120,20,0
Theater District,40.75965,-73.98582,Entire home/apt,317,30,0
East Village,40.72791,-73.98485,Entire home/apt,150,2,8
