id,sex,income
0,Male,<=50K
1,Female,>50K
2,Male,>50K
3,Female,<=50K
4,Male,<=50K
5,Female,<=50K
6,Male,<=50K
7,Male,<=50K
8,Female,<=50K
9,Male,>50K
10,Male,>50K
11,Female,<=50K
12,Male,>50K
13,Male,<=50K
14,Male,<=50K
15,Male,<=50K
16,Male,<=50K
17,Male,>50K
18,Female,<=50K
19,Female,<=50K
20,Male,<=50K
21,Female,<=50K
22,Male,>50K
23,Male,<=50K
24,Female,<=50K
25,Male,>50K
26,Male,>50K
27,Male,<=50K
28,Male,>50K
29,Male,<=50K
30,Male,>50K
31,Female,<=50K
32,Female,<=50K
33,Male,<=50K
34,Female,>50K
35,Male,<=50K
36,Male,<=50K
37,Male,<=50K
38,Male,<=50K
39,Male,<=50K
40,Female,<=50K
41,Male,<=50K
42,Male,<=50K
43,Male,>50K
44,Female,<=50K
45,Female,<=50K
46,Male,<=50K
47,Female,<=50K
48,Male,<=50K
49,Male,>50K
50,Female,<=50K
51,Male,>50K
52,Male,<=50K
53,Male,<=50K
54,Female,<=50K
55,Male,<=50K
56,Male,>50K
57,Male,<=50K
58,Male,<=50K
59,Male,<=50K
60,Male,>50K
61,Female,<=50K
62,Male,>50K
63,Male,<=50K
64,Male,>50K
65,Male,<=50K
66,Male,<=50K
67,Female,<=50K
68,Male,<=50K
69,Male,<=50K
70,Female,<=50K
71,Male,>50K
72,Female,<=50K
73,Male,<=50K
74,Female,<=50K
75,Male,<=50K
76,Female,<=50K
77,Male,<=50K
78,Male,<=50K
79,Male,<=50K
80,Male,<=50K
81,Male,<=50K
82,Male,<=50K
83,Female,<=50K
84,Male,>50K
85,Male,<=50K
86,Male,<=50K
87,Male,>50K
88,Male,<=50K
89,Male,<=50K
90,Male,<=50K
91,Male,<=50K
92,Female,<=50K
93,Male,<=50K
94,Female,<=50K
95,Female,<=50K
96,Female,<=50K
97,Female,<=50K
98,Male,<=50K
99,Male,>50K
100,Male,<=50K
101,Female,<=50K
102,Male,<=50K
103,Male,<=50K
104,Male,<=50K
105,Male,>50K
106,Female,<=50K
107,Female,<=50K
108,Female,<=50K
109,Male,<=50K
110,Male,>50K
111,Male,>50K
112,Male,<=50K
113,Male,<=50K
114,Male,>50K
115,Male,<=50K
116,Female,<=50K
117,Male,<=50K
118,Female,<=50K
119,Male,>50K
120,Male,<=50K
121,Male,>50K
122,Male,>50K
123,Female,<=50K
124,Female,<=50K
125,Male,<=50K
126,Male,<=50K
127,Male,>50K
128,Male,>50K
129,Male,<=50K
130,Male,<=50K
131,Female,<=50K
132,Female,>50K
133,Male,<=50K
134,Male,>50K
135,Male,<=50K
136,Male,<=50K
137,Male,>50K
138,Male,<=50K
139,Male,<=50K
140,Male,>50K
141,Female,<=50K
142,Male,<=50K
143,Female,<=50K
144,Female,<=50K
145,Male,<=50K
146,Male,<=50K
147,Male,<=50K
148,Female,>50K
149,Female,<=50K
150,Male,<=50K
151,Male,>50K
152,Female,<=50K
153,Male,>50K
154,Male,<=50K
155,Female,<=50K
156,Female,<=50K
157,Male,>50K
158,Female,<=50K
159,Male,>50K
160,Female,<=50K
161,Male,<=50K
162,Female,>50K
163,Female,<=50K
164,Male,<=50K
165,Female,<=50K
166,Male,<=50K
167,Male,>50K
168,Female,<=50K
169,Male,<=50K
170,Female,<=50K
171,Female,>50K
172,Male,<=50K
173,Male,<=50K
174,Male,<=50K
175,Female,<=50K
176,Male,<=50K
177,Female,<=50K
178,Male,<=50K
179,Female,<=50K
180,Male,>50K
181,Male,>50K
182,Male,<=50K
183,Male,<=50K
184,Male,<=50K
185,Female,<=50K
186,Male,<=50K
187,Male,<=50K
188,Male,<=50K
189,Female,<=50K
190,Male,<=50K
191,Male,<=50K
192,Male,>50K
193,Male,<=50K
194,Male,<=50K
195,Male,<=50K
196,Female,<=50K
197,Male,>50K
198,Male,<=50K
199,Male,<=50K
200,Male,<=50K
201,Male,<=50K
202,Male,>50K
203,Female,<=50K
204,Male,<=50K
205,Male,<=50K
206,Female,<=50K
207,Male,<=50K
208,Female,<=50K
209,Male,>50K
210,Male,<=50K
211,Male,<=50K
212,Male,<=50K
213,Male,<=50K
214,Female,<=50K
215,Male,>50K
216,Female,<=50K
217,Male,<=50K
218,Male,<=50K
219,Male,<=50K
220,Male,<=50K
221,Female,>50K
222,Male,>50K
223,Male,<=50K
224,Male,<=50K
225,Female,<=50K
226,Male,>50K
227,Female,<=50K
228,Female,<=50K
229,Male,>50K
230,Male,>50K
231,Male,<=50K
232,Male,<=50K
233,Male,<=50K
234,Male,<=50K
235,Female,>50K
236,Male,<=50K
237,Male,<=50K
238,Male,<=50K
239,Male,<=50K
240,Male,<=50K
241,Male,>50K
242,Male,<=50K
243,Male,<=50K
244,Male,<=50K
245,Male,<=50K
246,Male,<=50K
247,Male,>50K
248,Female,<=50K
249,Female,<=50K
250,Female,<=50K
251,Female,<=50K
252,Female,>50K
253,Male,<=50K
254,Male,<=50K
255,Male,<=50K
256,Male,<=50K
257,Male,>50K
258,Male,<=50K
259,Male,<=50K
260,Female,<=50K
261,Female,<=50K
262,Female,<=50K
263,Male,<=50K
264,Female,>50K
265,Male,<=50K
266,Male,<=50K
267,Female,<=50K
268,Male,<=50K
269,Male,<=50K
270,Female,<=50K
271,Male,<=50K
272,Female,<=50K
273,Male,<=50K
274,Female,<=50K
275,Male,>50K
276,Male,<=50K
277,Female,<=50K
278,Female,>50K
279,Female,<=50K
280,Male,>50K
281,Male,<=50K
282,Female,>50K
283,Male,<=50K
284,Male,<=50K
285,Female,<=50K
286,Male,<=50K
287,Female,<=50K
288,Male,<=50K
289,Male,<=50K
290,Male,>50K
291,Male,>50K
292,Female,<=50K
293,Male,>50K
294,Male,<=50K
295,Male,<=50K
296,Male,>50K
297,Male,<=50K
298,Male,>50K
299,Female,<=50K
300,Male,<=50K
301,Male,<=50K
302,Female,<=50K
303,Female,<=50K
304,Male,<=50K
305,Male,<=50K
306,Female,<=50K
307,Female,>50K
308,Male,<=50K
309,Female,<=50K
310,Male,<=50K
311,Female,>50K
312,Male,<=50K
313,Female,<=50K
314,Male,>50K
315,Female,<=50K
316,Male,<=50K
317,Male,<=50K
318,Female,<=50K
319,Female,<=50K
320,Female,<=50K
321,Male,>50K
322,Female,<=50K
323,Male,<=50K
324,Male,<=50K
325,Male,<=50K
326,Male,<=50K
327,Male,<=50K
328,Male,<=50K
329,Female,<=50K
330,Male,<=50K
331,Male,<=50K
332,Male,>50K
333,Male,<=50K
334,Male,<=50K
335,Male,>50K
336,Male,<=50K
337,Male,>50K
338,Male,>50K
339,Male,<=50K
340,Male,<=50K
341,Male,<=50K
342,Female,<=50K
343,Male,>50K
344,Female,<=50K
345,Male,<=50K
346,Male,<=50K
347,Female,<=50K
348,Male,>50K
349,Male,<=50K
350,Male,>50K
351,Male,<=50K
352,Male,>50K
353,Male,<=50K
354,Male,>50K
355,Male,<=50K
356,Female,>50K
357,Female,>50K
358,Female,<=50K
359,Female,<=50K
360,Male,<=50K
361,Male,>50K
362,Male,<=50K
363,Male,<=50K
364,Female,<=50K
365,Male,<=50K
366,Female,<=50K
367,Female,<=50K
368,Male,>50K
369,Male,<=50K
370,Male,<=50K
371,Male,>50K
372,Male,<=50K
373,Male,>50K
374,Female,<=50K
375,Female,<=50K
376,Male,<=50K
377,Male,<=50K
378,Male,<=50K
379,Female,<=50K
380,Male,<=50K
381,Female,<=50K
382,Female,<=50K
383,Female,<=50K
384,Female,<=50K
385,Male,>50K
386,Male,>50K
387,Male,>50K
388,Male,<=50K
389,Male,<=50K
390,Male,>50K
391,Male,<=50K
392,Female,<=50K
393,Female,<=50K
394,Male,<=50K
395,Female,<=50K
396,Male,<=50K
397,Male,<=50K
398,Female,<=50K
399,Male,>50K
400,Male,<=50K
401,Female,<=50K
402,Male,<=50K
403,Female,<=50K
404,Male,>50K
405,Male,<=50K
406,Male,>50K
407,Female,<=50K
408,Male,<=50K
409,Female,<=50K
410,Male,<=50K
411,Female,<=50K
412,Male,<=50K
413,Male,<=50K
414,Female,<=50K
415,Male,<=50K
416,Male,>50K
417,Male,<=50K
418,Female,<=50K
419,Male,>50K
420,Female,<=50K
421,Male,>50K
422,Female,<=50K
423,Male,<=50K
424,Male,<=50K
425,Male,<=50K
426,Male,<=50K
427,Male,>50K
428,Female,<=50K
429,Male,<=50K
430,Male,<=50K
431,Male,<=50K
432,Female,<=50K
433,Male,<=50K
434,Female,<=50K
435,Male,>50K
436,Male,<=50K
437,Male,>50K
438,Male,<=50K
439,Male,<=50K
440,Male,>50K
441,Male,<=50K
442,Male,>50K
443,Male,>50K
444,Male,<=50K
445,Female,<=50K
446,Male,<=50K
447,Male,<=50K
448,Male,>50K
449,Male,<=50K
450,Male,<=50K
451,Male,<=50K
452,Male,<=50K
453,Male,<=50K
454,Female,<=50K
455,Male,<=50K
456,Male,>50K
457,Male,<=50K
458,Male,<=50K
459,Male,<=50K
460,Male,>50K
461,Male,<=50K
462,Male,>50K
463,Female,<=50K
464,Female,<=50K
465,Female,<=50K
466,Male,<=50K
467,Female,<=50K
468,Male,>50K
469,Female,<=50K
470,Male,<=50K
471,Female,<=50K
472,Female,<=50K
473,Female,<=50K
474,Male,>50K
475,Male,>50K
476,Male,>50K
477,Female,>50K
478,Male,<=50K
479,Male,<=50K
480,Female,<=50K
481,Male,<=50K
482,Male,<=50K
483,Male,>50K
484,Male,<=50K
485,Male,>50K
486,Male,>50K
487,Male,<=50K
488,Female,<=50K
489,Male,>50K
490,Female,<=50K
491,Male,<=50K
492,Male,<=50K
493,Male,<=50K
494,Female,<=50K
495,Male,<=50K
496,Female,<=50K
497,Female,<=50K
498,Female,<=50K
499,Male,<=50K
500,Male,<=50K
501,Male,<=50K
502,Female,<=50K
503,Male,<=50K
504,Female,<=50K
505,Male,>50K
506,Male,>50K
507,Female,<=50K
508,Male,<=50K
509,Female,<=50K
510,Female,<=50K
511,Male,>50K
512,Female,>50K
513,Male,>50K
514,Female,<=50K
515,Male,>50K
516,Male,>50K
517,Female,<=50K
518,Female,<=50K
519,Male,<=50K
520,Male,<=50K
521,Male,<=50K
522,Female,<=50K
523,Male,<=50K
524,Male,<=50K
525,Male,>50K
526,Male,>50K
527,Male,<=50K
528,Male,<=50K
529,Male,<=50K
530,Male,>50K
531,Male,<=50K
532,Male,>50K
533,Male,<=50K
534,Male,<=50K
535,Male,<=50K
536,Male,<=50K
537,Male,<=50K
538,Male,<=50K
539,Male,>50K
540,Male,>50K
541,Female,<=50K
542,Male,<=50K
543,Male,<=50K
544,Male,<=50K
545,Male,<=50K
546,Male,<=50K
547,Female,<=50K
548,Male,<=50K
549,Male,>50K
550,Male,<=50K
551,Female,<=50K
552,Male,<=50K
553,Male,>50K
554,Male,<=50K
555,Female,>50K
556,Male,<=50K
557,Female,<=50K
558,Male,<=50K
559,Female,>50K
560,Male,<=50K
561,Female,<=50K
562,Female,<=50K
563,Male,<=50K
564,Male,>50K
565,Female,<=50K
566,Female,<=50K
567,Male,<=50K
568,Male,<=50K
569,Female,<=50K
570,Male,<=50K
571,Male,>50K
572,Female,<=50K
573,Female,<=50K
574,Male,<=50K
575,Male,<=50K
576,Male,>50K
577,Male,<=50K
578,Male,<=50K
579,Male,>50K
580,Male,>50K
581,Male,>50K
582,Male,<=50K
583,Female,<=50K
584,Male,<=50K
585,Female,<=50K
586,Male,<=50K
587,Female,<=50K
588,Male,<=50K
589,Male,>50K
590,Male,<=50K
591,Male,<=50K
592,Female,<=50K
593,Male,<=50K
594,Male,<=50K
595,Female,<=50K
596,Male,<=50K
597,Male,<=50K
598,Male,>50K
599,Male,<=50K
600,Female,<=50K
601,Male,<=50K
602,Male,<=50K
603,Male,<=50K
604,Male,<=50K
605,Male,<=50K
606,Male,<=50K
607,Male,<=50K
608,Male,<=50K
609,Male,>50K
610,Male,<=50K
611,Female,>50K
612,Male,<=50K
613,Female,<=50K
614,Male,>50K
615,Male,>50K
616,Male,<=50K
617,Female,<=50K
618,Male,<=50K
619,Male,>50K
620,Male,<=50K
621,Male,<=50K
622,Male,>50K
623,Female,<=50K
624,Female,<=50K
625,Male,>50K
626,Male,<=50K
627,Female,<=50K
628,Female,<=50K
629,Female,<=50K
630,Female,>50K
631,Female,<=50K
632,Female,<=50K
633,Male,<=50K
634,Male,>50K
635,Male,<=50K
636,Female,<=50K
637,Male,<=50K
638,Female,<=50K
639,Female,>50K
640,Female,<=50K
641,Female,>50K
642,Male,<=50K
643,Male,<=50K
644,Male,<=50K
645,Female,<=50K
646,Female,<=50K
647,Female,<=50K
648,Male,<=50K
649,Male,<=50K
650,Female,<=50K
651,Female,<=50K
652,Male,<=50K
653,Male,<=50K
654,Male,<=50K
655,Male,>50K
656,Male,<=50K
657,Male,<=50K
658,Male,>50K
659,Male,<=50K
660,Male,>50K
661,Male,>50K
662,Female,<=50K
663,Male,<=50K
664,Male,<=50K
665,Male,<=50K
666,Female,<=50K
667,Male,<=50K
668,Female,<=50K
669,Male,<=50K
670,Male,>50K
671,Male,<=50K
672,Male,<=50K
673,Male,<=50K
674,Female,<=50K
675,Female,<=50K
676,Male,<=50K
677,Male,>50K
678,Female,<=50K
679,Female,<=50K
680,Male,<=50K
681,Female,<=50K
682,Male,<=50K
683,Male,<=50K
684,Female,<=50K
685,Male,>50K
686,Female,<=50K
687,Female,>50K
688,Female,<=50K
689,Male,>50K
690,Female,<=50K
691,Male,>50K
692,Male,>50K
693,Female,<=50K
694,Female,<=50K
695,Female,<=50K
696,Male,<=50K
697,Male,>50K
698,Female,<=50K
699,Male,<=50K
700,Female,<=50K
701,Male,<=50K
702,Male,<=50K
703,Male,>50K
704,Male,<=50K
705,Male,>50K
706,Female,<=50K
707,Female,<=50K
708,Female,<=50K
709,Female,<=50K
710,Male,<=50K
711,Male,<=50K
712,Female,<=50K
713,Male,<=50K
714,Male,<=50K
715,Male,<=50K
716,Male,<=50K
717,Male,>50K
718,Male,>50K
719,Female,<=50K
720,Male,<=50K
721,Female,<=50K
722,Male,>50K
723,Male,<=50K
724,Male,<=50K
725,Male,<=50K
726,Male,>50K
727,Male,<=50K
728,Male,<=50K
729,Male,>50K
730,Male,<=50K
731,Male,>50K
732,Female,<=50K
733,Male,>50K
734,Male,>50K
735,Male,<=50K
736,Male,<=50K
737,Female,<=50K
738,Female,<=50K
739,Male,>50K
740,Male,<=50K
741,Female,<=50K
742,Male,<=50K
743,Female,>50K
744,Male,<=50K
745,Female,<=50K
746,Male,>50K
747,Male,<=50K
748,Male,<=50K
749,Male,<=50K
750,Female,<=50K
751,Male,<=50K
752,Male,<=50K
753,Female,<=50K
754,Male,<=50K
755,Male,>50K
756,Female,<=50K
757,Female,<=50K
758,Male,<=50K
759,Male,<=50K
760,Female,<=50K
761,Male,>50K
762,Male,<=50K
763,Female,<=50K
764,Male,<=50K
765,Female,<=50K
766,Female,<=50K
767,Male,>50K
768,Male,>50K
769,Male,>50K
770,Female,<=50K
771,Male,>50K
772,Female,<=50K
773,Female,<=50K
774,Female,<=50K
775,Male,<=50K
776,Female,<=50K
777,Female,<=50K
778,Male,<=50K
779,Male,<=50K
780,Female,<=50K
781,Male,<=50K
782,Female,<=50K
783,Male,<=50K
784,Male,<=50K
785,Female,>50K
786,Male,<=50K
787,Female,<=50K
788,Female,<=50K
789,Male,<=50K
790,Male,>50K
791,Female,<=50K
792,Female,>50K
793,Female,<=50K
794,Female,<=50K
795,Male,>50K
796,Male,<=50K
797,Female,<=50K
798,Female,<=50K
799,Female,<=50K
800,Female,<=50K
801,Male,>50K
802,Female,<=50K
803,Female,<=50K
804,Female,>50K
805,Male,<=50K
806,Female,<=50K
807,Female,<=50K
808,Male,<=50K
809,Female,<=50K
810,Male,<=50K
811,Female,<=50K
812,Female,<=50K
813,Male,<=50K
814,Female,<=50K
815,Male,<=50K
816,Female,<=50K
817,Male,<=50K
818,Male,>50K
819,Male,<=50K
820,Male,<=50K
821,Male,<=50K
822,Male,>50K
823,Male,<=50K
824,Female,<=50K
825,Female,>50K
826,Male,<=50K
827,Male,>50K
828,Male,>50K
829,Female,<=50K
830,Male,<=50K
831,Male,>50K
832,Male,<=50K
833,Male,<=50K
834,Male,<=50K
835,Female,<=50K
836,Male,<=50K
837,Male,<=50K
838,Female,>50K
839,Male,<=50K
840,Female,<=50K
841,Male,<=50K
842,Female,<=50K
843,Male,<=50K
844,Male,>50K
845,Male,<=50K
846,Male,<=50K
847,Male,<=50K
848,Male,<=50K
849,Male,<=50K
850,Male,>50K
851,Male,>50K
852,Female,<=50K
853,Female,<=50K
854,Female,>50K
855,Female,<=50K
856,Female,<=50K
857,Female,<=50K
858,Female,<=50K
859,Male,<=50K
860,Female,<=50K
861,Female,<=50K
862,Male,<=50K
863,Male,>50K
864,Female,<=50K
865,Male,<=50K
866,Female,<=50K
867,Male,<=50K
868,Female,<=50K
869,Male,<=50K
870,Female,<=50K
871,Male,<=50K
872,Male,>50K
873,Male,<=50K
874,Female,<=50K
875,Male,<=50K
876,Female,<=50K
877,Male,>50K
878,Male,>50K
879,Female,<=50K
880,Female,<=50K
881,Female,<=50K
882,Female,<=50K
883,Male,<=50K
884,Female,<=50K
885,Male,<=50K
886,Male,<=50K
887,Male,>50K
888,Male,<=50K
889,Male,<=50K
890,Female,>50K
891,Male,>50K
892,Male,<=50K
893,Female,<=50K
894,Female,<=50K
895,Male,>50K
896,Male,<=50K
897,Female,<=50K
898,Male,<=50K
899,Male,<=50K
900,Female,<=50K
901,Male,>50K
902,Male,>50K
903,Male,>50K
904,Male,<=50K
905,Male,<=50K
906,Male,<=50K
907,Female,<=50K
908,Male,>50K
909,Male,>50K
910,Male,<=50K
911,Female,<=50K
912,Female,<=50K
913,Male,<=50K
914,Male,<=50K
915,Male,<=50K
916,Female,>50K
917,Male,<=50K
918,Male,<=50K
919,Male,>50K
920,Male,<=50K
921,Male,<=50K
922,Male,<=50K
923,Male,<=50K
924,Female,<=50K
925,Male,<=50K
926,Female,<=50K
927,Female,<=50K
928,Female,<=50K
929,Male,>50K
930,Male,>50K
931,Female,<=50K
932,Male,<=50K
933,Male,<=50K
934,Female,<=50K
935,Male,<=50K
936,Female,<=50K
937,Male,<=50K
938,Female,<=50K
939,Male,<=50K
940,Male,<=50K
941,Female,<=50K
942,Female,<=50K
943,Male,<=50K
944,Male,<=50K
945,Male,>50K
946,Female,<=50K
947,Female,<=50K
948,Male,<=50K
949,Male,<=50K
950,Female,<=50K
951,Male,<=50K
952,Female,>50K
953,Male,<=50K
954,Male,<=50K
955,Female,<=50K
956,Male,>50K
957,Male,<=50K
958,Male,<=50K
959,Male,>50K
960,Female,<=50K
961,Male,<=50K
962,Male,<=50K
963,Female,<=50K
964,Male,>50K
965,Female,>50K
966,Male,>50K
967,Female,<=50K
968,Male,<=50K
969,Male,<=50K
970,Female,<=50K
971,Male,<=50K
972,Female,<=50K
973,Male,<=50K
974,Male,<=50K
975,Male,<=50K
976,Female,<=50K
977,Male,<=50K
978,Male,>50K
979,Female,<=50K
980,Female,<=50K
981,Male,<=50K
982,Male,>50K
983,Male,<=50K
984,Female,<=50K
985,Male,<=50K
986,Male,<=50K
987,Female,<=50K
988,Male,<=50K
989,Female,<=50K
990,Female,>50K
991,Male,>50K
992,Male,>50K
993,Female,<=50K
994,Male,<=50K
995,Male,<=50K
996,Male,>50K
997,Female,<=50K
998,Male,>50K
999,Female,<=50K
1000,Male,>50K
1001,Male,<=50K
1002,Male,<=50K
1003,Male,<=50K
1004,Male,<=50K
1005,Male,<=50K
1006,Male,<=50K
1007,Male,<=50K
1008,Male,<=50K
1009,Male,<=50K
1010,Female,>50K
1011,Male,<=50K
1012,Male,>50K
1013,Male,<=50K
1014,Male,>50K
1015,Male,>50K
1016,Female,<=50K
1017,Female,<=50K
1018,Male,>50K
1019,Male,<=50K
1020,Male,<=50K
1021,Male,<=50K
1022,Female,<=50K
1023,Male,<=50K
1024,Male,<=50K
1025,Male,>50K
1026,Male,<=50K
1027,Male,>50K
1028,Male,>50K
1029,Female,<=50K
1030,Male,>50K
1031,Female,<=50K
1032,Male,<=50K
1033,Male,<=50K
1034,Female,<=50K
1035,Male,<=50K
1036,Female,<=50K
1037,Female,<=50K
1038,Male,<=50K
1039,Male,>50K
1040,Female,>50K
1041,Male,<=50K
1042,Male,<=50K
1043,Male,<=50K
1044,Male,<=50K
1045,Male,<=50K
1046,Male,>50K
1047,Male,<=50K
1048,Female,<=50K
1049,Female,<=50K
1050,Female,<=50K
1051,Male,>50K
1052,Female,<=50K
1053,Male,<=50K
1054,Male,<=50K
1055,Male,>50K
1056,Female,<=50K
1057,Male,<=50K
1058,Male,<=50K
1059,Female,<=50K
1060,Male,<=50K
1061,Male,>50K
1062,Male,<=50K
1063,Female,<=50K
1064,Male,<=50K
1065,Female,>50K
1066,Female,<=50K
1067,Female,<=50K
1068,Male,<=50K
1069,Female,<=50K
1070,Male,<=50K
1071,Male,<=50K
1072,Male,<=50K
1073,Male,<=50K
1074,Male,<=50K
1075,Male,<=50K
1076,Male,>50K
1077,Female,<=50K
1078,Male,>50K
1079,Male,<=50K
1080,Female,<=50K
1081,Male,<=50K
1082,Male,<=50K
1083,Female,<=50K
1084,Male,<=50K
1085,Male,<=50K
1086,Male,<=50K
1087,Male,<=50K
1088,Female,<=50K
1089,Male,<=50K
1090,Female,<=50K
1091,Male,<=50K
1092,Male,<=50K
1093,Male,<=50K
1094,Female,<=50K
1095,Male,<=50K
1096,Female,<=50K
1097,Male,>50K
1098,Male,>50K
1099,Female,<=50K
1100,Male,<=50K
1101,Female,<=50K
1102,Female,<=50K
1103,Male,<=50K
1104,Male,>50K
1105,Male,<=50K
1106,Male,<=50K
