id,sex,income
s0000,Male,>50K
s0001,Female,<=50K
s0002,Male,<=50K
s0003,Male,>50K
s0004,Male,<=50K
s0005,Male,<=50K
s0006,Male,<=50K
s0007,Male,>50K
s0008,Male,<=50K
s0009,Female,<=50K
s0010,Male,<=50K
s0011,Female,<=50K
s0012,Male,<=50K
s0013,Female,<=50K
s0014,Male,<=50K
s0015,Female,<=50K
s0016,Male,<=50K
s0017,Female,<=50K
s0018,Male,<=50K
s0019,Male,<=50K
s0020,Female,<=50K
s0021,Female,>50K
s0022,Male,>50K
s0023,Female,<=50K
s0024,Female,<=50K
s0025,Female,<=50K
s0026,Male,<=50K
s0027,Male,<=50K
s0028,Male,<=50K
s0029,Female,>50K
s0030,Male,>50K
s0031,Male,>50K
s0032,Female,<=50K
s0033,Female,>50K
s0034,Female,<=50K
s0035,Male,<=50K
s0036,Female,<=50K
s0037,Female,<=50K
s0038,Male,<=50K
s0039,Female,<=50K
s0040,Female,<=50K
s0041,Female,<=50K
s0042,Male,>50K
s0043,Female,>50K
s0044,Male,<=50K
s0045,Male,<=50K
s0046,Female,>50K
s0047,Male,<=50K
s0048,Male,<=50K
s0049,Male,<=50K
s0050,Male,<=50K
s0051,Female,>50K
s0052,Male,>50K
s0053,Male,<=50K
s0054,Male,<=50K
s0055,Male,>50K
s0056,Female,<=50K
s0057,Male,>50K
s0058,Female,<=50K
s0059,Female,<=50K
s0060,Male,>50K
s0061,Male,>50K
s0062,Female,>50K
s0063,Male,<=50K
s0064,Male,>50K
s0065,Female,>50K
s0066,Female,<=50K
s0067,Female,<=50K
s0068,Female,>50K
s0069,Female,<=50K
s0070,Female,<=50K
s0071,Male,>50K
s0072,Male,<=50K
s0073,Female,<=50K
s0074,Male,<=50K
s0075,Male,<=50K
s0076,Female,<=50K
s0077,Male,>50K
s0078,Female,>50K
s0079,Female,<=50K
s0080,Female,<=50K
s0081,Female,<=50K
s0082,Female,<=50K
s0083,Male,<=50K
s0084,Male,<=50K
s0085,Female,<=50K
s0086,Male,<=50K
s0087,Female,>50K
s0088,Female,<=50K
s0089,Female,>50K
s0090,Male,<=50K
s0091,Female,<=50K
s0092,Male,<=50K
s0093,Female,<=50K
s0094,Male,>50K
s0095,Male,<=50K
s0096,Female,<=50K
s0097,Female,<=50K
s0098,Male,>50K
s0099,Female,>50K
s0100,Male,<=50K
s0101,Female,>50K
s0102,Female,<=50K
s0103,Male,>50K
s0104,Female,>50K
s0105,Female,<=50K
s0106,Male,>50K
s0107,Female,<=50K
s0108,Female,<=50K
s0109,Female,<=50K
s0110,Male,>50K
s0111,Male,<=50K
s0112,Female,<=50K
s0113,Female,>50K
s0114,Male,<=50K
s0115,Female,>50K
s0116,Female,>50K
s0117,Female,<=50K
s0118,Female,<=50K
s0119,Male,<=50K
s0120,Male,<=50K
s0121,Male,<=50K
s0122,Male,<=50K
s0123,Male,>50K
s0124,Female,<=50K
s0125,Female,<=50K
s0126,Female,<=50K
s0127,Female,<=50K
s0128,Male,<=50K
s0129,Male,<=50K
s0130,Female,<=50K
s0131,Female,<=50K
s0132,Female,>50K
s0133,Male,>50K
s0134,Female,<=50K
s0135,Male,<=50K
s0136,Female,>50K
s0137,Male,>50K
s0138,Female,<=50K
s0139,Female,<=50K
s0140,Female,<=50K
s0141,Male,<=50K
s0142,Male,>50K
s0143,Male,<=50K
s0144,Male,>50K
s0145,Male,<=50K
s0146,Male,<=50K
s0147,Female,<=50K
s0148,Female,<=50K
s0149,Male,>50K
s0150,Male,>50K
s0151,Female,>50K
s0152,Female,<=50K
s0153,Male,<=50K
s0154,Male,<=50K
s0155,Female,>50K
s0156,Male,<=50K
s0157,Female,<=50K
s0158,Female,<=50K
s0159,Female,>50K
s0160,Male,<=50K
s0161,Male,<=50K
s0162,Female,<=50K
s0163,Female,<=50K
s0164,Male,>50K
s0165,Male,<=50K
s0166,Male,>50K
s0167,Male,<=50K
s0168,Female,<=50K
s0169,Female,<=50K
s0170,Male,<=50K
s0171,Female,<=50K
s0172,Female,>50K
s0173,Male,<=50K
s0174,Female,<=50K
s0175,Female,<=50K
s0176,Female,>50K
s0177,Male,<=50K
s0178,Male,<=50K
s0179,Male,<=50K
s0180,Female,<=50K
s0181,Male,<=50K
s0182,Female,>50K
s0183,Male,>50K
s0184,Male,>50K
s0185,Female,<=50K
s0186,Male,<=50K
s0187,Female,<=50K
s0188,Female,<=50K
s0189,Female,<=50K
s0190,Male,<=50K
s0191,Male,<=50K
s0192,Female,>50K
s0193,Female,<=50K
s0194,Female,<=50K
s0195,Female,<=50K
s0196,Male,<=50K
s0197,Male,<=50K
s0198,Female,<=50K
s0199,Female,<=50K
s0200,Female,<=50K
s0201,Female,<=50K
s0202,Female,<=50K
s0203,Female,<=50K
s0204,Male,>50K
s0205,Male,<=50K
s0206,Female,<=50K
s0207,Female,<=50K
s0208,Female,>50K
s0209,Female,<=50K
s0210,Male,>50K
s0211,Female,>50K
s0212,Male,<=50K
s0213,Male,<=50K
s0214,Male,<=50K
s0215,Female,<=50K
s0216,Male,<=50K
s0217,Female,<=50K
s0218,Female,>50K
s0219,Male,>50K
s0220,Male,<=50K
s0221,Male,<=50K
s0222,Male,<=50K
s0223,Female,>50K
s0224,Male,<=50K
s0225,Female,>50K
s0226,Female,>50K
s0227,Female,<=50K
s0228,Female,<=50K
s0229,Female,<=50K
s0230,Male,>50K
s0231,Female,>50K
s0232,Female,<=50K
s0233,Male,<=50K
s0234,Male,<=50K
s0235,Female,<=50K
s0236,Male,>50K
s0237,Female,>50K
s0238,Male,<=50K
s0239,Female,>50K
s0240,Male,<=50K
s0241,Female,<=50K
s0242,Female,<=50K
s0243,Male,<=50K
s0244,Female,<=50K
s0245,Female,<=50K
s0246,Male,<=50K
s0247,Male,<=50K
s0248,Female,<=50K
s0249,Female,>50K
s0250,Male,<=50K
s0251,Female,<=50K
s0252,Male,<=50K
s0253,Female,<=50K
s0254,Female,>50K
s0255,Female,<=50K
s0256,Female,<=50K
s0257,Female,<=50K
s0258,Male,>50K
s0259,Female,<=50K
s0260,Female,<=50K
s0261,Female,>50K
s0262,Female,<=50K
s0263,Female,<=50K
s0264,Female,<=50K
s0265,Male,<=50K
s0266,Female,<=50K
s0267,Male,<=50K
s0268,Male,<=50K
s0269,Male,<=50K
s0270,Male,<=50K
