id,age,workclass,education,marital_status,occupation,relationship,race,hours_per_week
0,27,?,Bachelors,Never-married,?,Not-in-family,White,40
1,37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,16
2,36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,44
3,53,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,38
4,39,?,HS-grad,Never-married,?,Not-in-family,White,40
5,24,Private,11th,Never-married,Other-service,Not-in-family,White,20
6,29,?,HS-grad,Never-married,?,Own-child,White,50
7,56,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,26
8,48,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,40
9,39,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,45
10,29,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,55
11,58,?,Some-college,Married-civ-spouse,?,Wife,White,20
12,45,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,50
13,39,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,40
14,29,Private,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,60
15,20,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,40
16,77,?,Assoc-acdm,Married-civ-spouse,?,Husband,White,2
17,34,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,50
18,47,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,40
19,48,Private,HS-grad,Divorced,Other-service,Not-in-family,White,38
20,20,?,Some-college,Never-married,?,Own-child,White,30
21,30,Self-emp-inc,HS-grad,Divorced,Adm-clerical,Unmarried,White,40
22,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,40
23,58,Private,HS-grad,Divorced,Other-service,Not-in-family,White,35
24,32,Private,Some-college,Never-married,Sales,Not-in-family,White,40
25,42,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,40
26,41,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,40
27,17,Private,11th,Never-married,Farming-fishing,Own-child,White,40
28,29,Private,Some-college,Divorced,Craft-repair,Unmarried,White,35
29,43,Private,Bachelors,Divorced,Machine-op-inspct,Other-relative,White,40
30,46,Private,Bachelors,Never-married,Sales,Not-in-family,White,45
31,30,?,HS-grad,Separated,?,Own-child,Black,20
32,49,Private,Assoc-voc,Divorced,Other-service,Unmarried,White,20
33,51,Private,Bachelors,Married-civ-spouse,Handlers-cleaners,Husband,White,40
34,73,?,HS-grad,Widowed,?,Not-in-family,White,22
35,23,Private,HS-grad,Never-married,Other-service,Own-child,Black,25
36,51,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,40
37,30,Private,10th,Never-married,Machine-op-inspct,Other-relative,Asian-Pac-Islander,40
38,28,?,HS-grad,Married-civ-spouse,?,Other-relative,White,16
39,18,Private,11th,Never-married,Adm-clerical,Not-in-family,White,40
40,45,Local-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,38
41,40,Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,40
42,29,Federal-gov,HS-grad,Divorced,Adm-clerical,Not-in-family,Other,45
43,54,Federal-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,40
44,30,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Wife,Black,20
45,49,Private,Bachelors,Divorced,Exec-managerial,Unmarried,Black,40
46,34,Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,40
47,38,Private,Some-college,Never-married,Adm-clerical,Own-child,White,40
48,35,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,45
49,36,Federal-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,45
50,18,Private,HS-grad,Never-married,Sales,Own-child,White,20
51,36,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Farming-fishing,Husband,White,60
52,71,Private,Assoc-voc,Married-civ-spouse,Machine-op-inspct,Husband,White,28
53,44,Private,10th,Married-civ-spouse,Machine-op-inspct,Husband,White,60
54,58,Private,Some-college,Separated,Adm-clerical,Not-in-family,White,40
55,31,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Own-child,White,40
56,36,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,40
57,40,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,40
58,57,Private,Bachelors,Divorced,Craft-repair,Not-in-family,White,45
59,33,Local-gov,Some-college,Married-civ-spouse,Protective-serv,Husband,White,45
60,35,Private,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,40
61,65,?,HS-grad,Widowed,?,Unmarried,White,75
62,39,Private,Some-college,Married-civ-spouse,Sales,Husband,White,55
63,29,Private,1st-4th,Never-married,Other-service,Not-in-family,White,20
64,44,Federal-gov,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,40
65,18,Private,9th,Never-married,Handlers-cleaners,Own-child,White,16
66,68,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,10
67,24,Private,Bachelors,Never-married,Sales,Not-in-family,White,60
68,33,Private,HS-grad,Divorced,Machine-op-inspct,Not-in-family,White,49
69,18,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,50
70,62,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,40
71,42,Local-gov,Masters,Married-civ-spouse,Protective-serv,Husband,White,35
72,29,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,35
73,30,Private,HS-grad,Never-married,Machine-op-inspct,Other-relative,Black,40
74,51,Private,HS-grad,Married-civ-spouse,Other-service,Other-relative,Black,40
75,28,Private,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,White,40
76,43,Private,HS-grad,Separated,Other-service,Not-in-family,Black,40
77,52,Private,Some-college,Never-married,Adm-clerical,Unmarried,White,45
78,22,Private,10th,Never-married,Machine-op-inspct,Unmarried,White,40
79,39,Private,Some-college,Separated,Machine-op-inspct,Own-child,White,40
80,33,Self-emp-not-inc,Bachelors,Divorced,Craft-repair,Not-in-family,White,60
81,19,Private,Some-college,Married-spouse-absent,Adm-clerical,Own-child,White,40
82,34,Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,40
83,25,Private,HS-grad,Never-married,Sales,Unmarried,Black,35
84,64,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,55
85,24,Local-gov,10th,Never-married,Craft-repair,Unmarried,Black,65
86,18,State-gov,Some-college,Never-married,Adm-clerical,Own-child,White,10
87,36,Local-gov,Bachelors,Married-civ-spouse,Protective-serv,Husband,White,40
88,47,Private,Doctorate,Married-civ-spouse,Sales,Husband,White,60
89,20,Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,30
90,21,Self-emp-not-inc,Some-college,Never-married,Tech-support,Not-in-family,White,25
91,22,Private,Some-college,Never-married,Other-service,Other-relative,White,25
92,22,Private,Some-college,Never-married,Other-service,Own-child,White,40
93,20,Private,HS-grad,Never-married,Craft-repair,Other-relative,White,40
94,43,State-gov,Some-college,Never-married,Other-service,Not-in-family,Black,30
95,60,Federal-gov,9th,Divorced,Other-service,Not-in-family,Black,40
96,40,Private,Some-college,Never-married,Exec-managerial,Unmarried,White,40
97,22,Private,Some-college,Never-married,Other-service,Own-child,White,15
98,51,?,9th,Separated,?,Not-in-family,White,60
99,47,Private,Doctorate,Married-civ-spouse,Prof-specialty,Husband,White,40
100,30,Private,7th-8th,Never-married,Craft-repair,Not-in-family,White,38
101,20,Private,HS-grad,Never-married,Sales,Other-relative,Black,35
102,31,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,40
103,51,Local-gov,11th,Married-civ-spouse,Handlers-cleaners,Husband,Black,40
104,28,Private,Some-college,Never-married,Sales,Own-child,Black,40
105,47,Federal-gov,Masters,Married-civ-spouse,Exec-managerial,Husband,Black,40
106,63,?,HS-grad,Widowed,?,Not-in-family,White,4
107,19,?,HS-grad,Never-married,?,Own-child,Black,20
108,72,Private,11th,Divorced,Other-service,Not-in-family,Black,35
109,40,Private,12th,Divorced,Craft-repair,Not-in-family,White,40
110,58,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,65
