id,age,workclass,education,marital_status,occupation,relationship,race,hours_per_week
s0000,51,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
s0001,46,Federal-gov,HS-grad,Never-married,Tech-support,Not-in-family,White,40
s0002,28,Private,HS-grad,Never-married,Handlers-cleaners,Unmarried,Black,40
s0003,39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,40
s0004,67,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,20
s0005,47,Private,Some-college,Married-civ-spouse,Handlers-cleaners,Husband,White,80
s0006,37,Private,Some-college,Never-married,Exec-managerial,Not-in-family,White,65
s0007,41,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,45
s0008,41,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,62
s0009,64,Private,HS-grad,Separated,Adm-clerical,Not-in-family,White,40
s0010,46,Private,Masters,Never-married,Transport-moving,Not-in-family,White,52
s0011,61,Private,11th,Divorced,Other-service,Not-in-family,Black,25
s0012,39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,25
s0013,34,Private,HS-grad,Married-civ-spouse,Exec-managerial,Wife,White,45
s0014,34,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,White,40
s0015,18,Private,11th,Never-married,Machine-op-inspct,Own-child,White,40
s0016,43,Local-gov,Assoc-acdm,Married-civ-spouse,Other-service,Husband,White,35
s0017,67,Self-emp-not-inc,HS-grad,Separated,Exec-managerial,Not-in-family,White,5
s0018,37,Private,HS-grad,Never-married,Adm-clerical,Other-relative,White,40
s0019,33,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,37
s0020,28,Private,HS-grad,Never-married,Exec-managerial,Not-in-family,Black,40
s0021,34,Private,Masters,Never-married,Sales,Not-in-family,Asian-Pac-Islander,60
s0022,37,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,40
s0023,21,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,45
s0024,56,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,35
s0025,26,Private,Assoc-voc,Never-married,Adm-clerical,Other-relative,Black,45
s0026,50,?,Some-college,Never-married,?,Not-in-family,White,45
s0027,44,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Black,38
s0028,21,Self-emp-not-inc,10th,Married-civ-spouse,Transport-moving,Husband,White,70
s0029,27,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,60
s0030,49,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,60
s0031,31,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,65
s0032,40,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,40
s0033,50,?,Masters,Married-civ-spouse,?,Wife,White,40
s0034,17,Private,Some-college,Never-married,Sales,Not-in-family,Black,30
s0035,33,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Husband,White,40
s0036,65,Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,20
s0037,59,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,25
s0038,38,State-gov,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
s0039,29,Private,10th,Never-married,Machine-op-inspct,Own-child,Black,40
s0040,17,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,40
s0041,21,Private,Some-college,Never-married,Other-service,Own-child,Black,40
s0042,46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
s0043,42,Private,Some-college,Married-civ-spouse,Adm-clerical,Wife,White,55
s0044,30,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,40
s0045,20,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,40
s0046,60,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Wife,White,25
s0047,32,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,45
s0048,33,Private,Some-college,Married-spouse-absent,Farming-fishing,Unmarried,Black,40
s0049,41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Husband,White,50
s0050,20,Federal-gov,Some-college,Never-married,Protective-serv,Own-child,White,40
s0051,43,Self-emp-inc,Some-college,Separated,Prof-specialty,Not-in-family,White,60
s0052,56,Self-emp-inc,Some-college,Married-civ-spouse,Sales,Husband,White,40
s0053,23,Private,11th,Never-married,Craft-repair,Not-in-family,White,40
s0054,44,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,31
s0055,37,Private,Some-college,Divorced,Exec-managerial,Unmarried,White,50
s0056,50,?,Some-college,Divorced,?,Not-in-family,White,50
s0057,42,Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,40
s0058,31,Private,Assoc-voc,Never-married,Tech-support,Not-in-family,White,40
s0059,30,?,Masters,Never-married,?,Own-child,White,40
s0060,66,?,Masters,Divorced,?,Not-in-family,White,30
s0061,51,State-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,40
s0062,43,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,40
s0063,22,Private,Assoc-voc,Never-married,Prof-specialty,Unmarried,White,40
s0064,32,Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,40
s0065,39,Self-emp-inc,Prof-school,Married-civ-spouse,Exec-managerial,Wife,White,25
s0066,55,State-gov,11th,Divorced,Other-service,Not-in-family,Black,40
s0067,45,Private,9th,Divorced,Other-service,Unmarried,White,39
s0068,41,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Wife,White,40
s0069,36,Federal-gov,Some-college,Divorced,Adm-clerical,Unmarried,Black,30
s0070,45,Private,Bachelors,Divorced,Prof-specialty,Unmarried,White,42
