age,workclass,education,marital_status,occupation,relationship,race,sex,hours_per_week,income
27,?,Bachelors,Never-married,?,Not-in-family,White,Male,40,<=50K
37,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,Female,16,>50K
36,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,44,>50K
53,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Female,38,<=50K
39,?,HS-grad,Never-married,?,Not-in-family,White,Male,40,<=50K
24,Private,11th,Never-married,Other-service,Not-in-family,White,Female,20,<=50K
29,?,HS-grad,Never-married,?,Own-child,White,Male,50,<=50K
56,Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,White,Male,26,<=50K
48,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,Female,40,<=50K
39,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K
29,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,55,>50K
58,?,Some-college,Married-civ-spouse,?,Wife,White,Female,20,<=50K
45,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K
39,Private,Bachelors,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K
29,Private,Assoc-acdm,Never-married,Craft-repair,Not-in-family,White,Male,60,<=50K
20,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,Male,40,<=50K
77,?,Assoc-acdm,Married-civ-spouse,?,Husband,White,Male,2,<=50K
34,Self-emp-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,Male,50,>50K
47,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K
48,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Female,38,<=50K
20,?,Some-college,Never-married,?,Own-child,White,Male,30,<=50K
30,Self-emp-inc,HS-grad,Divorced,Adm-clerical,Unmarried,White,Female,40,<=50K
40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
58,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Male,35,<=50K
32,Private,Some-college,Never-married,Sales,Not-in-family,White,Female,40,<=50K
42,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K
41,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,40,>50K
