workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,income,age
Private,Some-college,Married-civ-spouse,Other-service,Husband,White,Male,40,<=50K,30
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,
Private,HS-grad,Never-married,Exec-managerial,Own-child,White,Male,55,<=50K,
Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,White,Female,40,<=50K,22
Self-emp-not-inc,7th-8th,Married-civ-spouse,Sales,Husband,White,Male,50,<=50K,68
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,<=50K,67
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
Private,Some-college,Married-civ-spouse,Craft-repair,Husband,Black,Male,45,<=50K,45
Private,HS-grad,Never-married,Farming-fishing,Other-relative,White,Male,40,<=50K,19
Private,Some-college,Never-married,Adm-clerical,Own-child,White,Female,40,<=50K,19
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Female,45,<=50K,28
Private,HS-grad,Divorced,Exec-managerial,Unmarried,White,Female,40,<=50K,
Private,Some-college,Never-married,Prof-specialty,Own-child,Amer-Indian-Eskimo,Female,40,<=50K,21
Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,42,<=50K,51
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,50,<=50K,33
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,55,<=50K,21
Local-gov,Assoc-acdm,Never-married,Protective-serv,Not-in-family,White,Male,50,<=50K,33
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,45,<=50K,37
Private,HS-grad,Never-married,Adm-clerical,Unmarried,White,Female,40,<=50K,39
Self-emp-not-inc,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,10,>50K,
Private,Some-college,Married-spouse-absent,Other-service,Unmarried,Black,Female,40,<=50K,60
Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,50,<=50K,52
?,HS-grad,Married-civ-spouse,?,Husband,White,Male,40,<=50K,32
Private,HS-grad,Married-civ-spouse,Transport-moving,Other-relative,White,Male,40,<=50K,62
Private,Masters,Married-spouse-absent,Exec-managerial,Own-child,White,Female,40,<=50K,
Private,Some-college,Never-married,Sales,Own-child,White,Male,25,<=50K,18
Private,5th-6th,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,<=50K,26
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
Private,HS-grad,Married-civ-spouse,Sales,Wife,Black,Female,45,<=50K,56
?,HS-grad,Married-civ-spouse,?,Wife,White,Female,20,<=50K,22
?,Masters,Never-married,?,Own-child,White,Male,30,<=50K,
State-gov,HS-grad,Divorced,Prof-specialty,Not-in-family,White,Female,40,<=50K,57
?,12th,Never-married,?,Own-child,White,Male,50,<=50K,22
Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K,34
Private,HS-grad,Never-married,Sales,Not-in-family,Black,Female,40,<=50K,42
Private,Assoc-voc,Never-married,Transport-moving,Not-in-family,White,Male,40,<=50K,24
Self-emp-not-inc,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,60,<=50K,35
?,HS-grad,Never-married,?,Own-child,Black,Male,40,<=50K,30
Self-emp-inc,Bachelors,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,40,<=50K,
Private,HS-grad,Never-married,Sales,Other-relative,White,Female,40,<=50K,28
Self-emp-not-inc,5th-6th,Married-civ-spouse,Other-service,Wife,White,Female,6,<=50K,25
Private,Assoc-voc,Never-married,Other-service,Unmarried,White,Female,36,<=50K,37
Private,Some-college,Separated,Adm-clerical,Unmarried,White,Female,40,<=50K,42
Private,HS-grad,Widowed,Adm-clerical,Not-in-family,White,Female,45,<=50K,39
Self-emp-not-inc,5th-6th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,49
Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,
Local-gov,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,<=50K,49
Private,10th,Never-married,Other-service,Not-in-family,White,Male,40,<=50K,19
Local-gov,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Black,Male,50,>50K,
Local-gov,Some-college,Divorced,Exec-managerial,Unmarried,Black,Female,40,<=50K,
Self-emp-not-inc,HS-grad,Never-married,Sales,Not-in-family,White,Male,55,<=50K,41
State-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,Male,40,<=50K,28
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,57
Federal-gov,HS-grad,Never-married,Adm-clerical,Own-child,Black,Female,36,<=50K,19
Self-emp-not-inc,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,60,>50K,69
Self-emp-inc,Some-college,Never-married,Exec-managerial,Not-in-family,White,Male,40,<=50K,
Private,7th-8th,Married-civ-spouse,Craft-repair,Husband,Black,Male,40,<=50K,37
Private,Bachelors,Separated,Other-service,Not-in-family,White,Male,45,>50K,60
Private,Some-college,Never-married,Adm-clerical,Unmarried,White,Male,45,<=50K,24
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,36
Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,>50K,
?,5th-6th,Divorced,?,Unmarried,Black,Male,30,<=50K,60
Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,40,<=50K,27
Private,HS-grad,Never-married,Adm-clerical,Own-child,White,Male,40,<=50K,31
Private,Assoc-acdm,Married-spouse-absent,Adm-clerical,Not-in-family,White,Female,40,<=50K,28
Private,7th-8th,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,<=50K,54
Private,7th-8th,Widowed,Other-service,Unmarried,White,Female,40,<=50K,81
State-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,53,<=50K,53
Private,Assoc-acdm,Never-married,Craft-repair,Own-child,Black,Female,40,<=50K,32
Private,HS-grad,Never-married,Other-service,Unmarried,Black,Female,40,<=50K,22
Private,Assoc-voc,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,23
Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Black,Male,40,<=50K,35
Private,11th,Never-married,Handlers-cleaners,Own-child,White,Male,20,<=50K,18
Self-emp-not-inc,5th-6th,Divorced,Craft-repair,Not-in-family,White,Male,40,<=50K,
Private,HS-grad,Divorced,Handlers-cleaners,Not-in-family,White,Female,35,<=50K,
Private,Bachelors,Divorced,Exec-managerial,Unmarried,White,Female,50,<=50K,
Local-gov,HS-grad,Divorced,Protective-serv,Unmarried,White,Female,40,<=50K,
Local-gov,HS-grad,Married-civ-spouse,Protective-serv,Husband,White,Male,40,<=50K,
?,9th,Never-married,?,Own-child,White,Male,40,<=50K,17
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Female,24,>50K,
Private,Masters,Never-married,Prof-specialty,Own-child,White,Female,40,<=50K,
Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,26
Federal-gov,Masters,Widowed,Exec-managerial,Not-in-family,White,Female,63,<=50K,
Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,Black,Male,40,>50K,48
Federal-gov,Some-college,Divorced,Tech-support,Not-in-family,Amer-Indian-Eskimo,Male,40,<=50K,52
Private,12th,Never-married,Farming-fishing,Own-child,White,Male,12,<=50K,17
Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,31
Private,HS-grad,Never-married,Transport-moving,Own-child,White,Male,60,<=50K,39
Private,Some-college,Separated,Other-service,Not-in-family,White,Male,10,<=50K,49
Private,Some-college,Never-married,Craft-repair,Own-child,White,Male,40,<=50K,25
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,Male,45,>50K,
Private,Masters,Never-married,Prof-specialty,Other-relative,White,Male,40,<=50K,
Private,HS-grad,Widowed,Other-service,Not-in-family,White,Female,8,<=50K,
Federal-gov,Bachelors,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K,
Private,HS-grad,Divorced,Sales,Own-child,White,Female,40,<=50K,
Self-emp-not-inc,7th-8th,Never-married,Craft-repair,Not-in-family,White,Male,25,<=50K,41
Self-emp-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,40,>50K,
Private,Bachelors,Never-married,Exec-managerial,Own-child,White,Male,40,<=50K,25
Private,HS-grad,Never-married,Exec-managerial,Not-in-family,White,Male,40,<=50K,39
