workclass,education,marital-status,occupation,relationship,race,sex,hours-per-week,income,age
?,Some-college,Never-married,?,Own-child,White,Male,15,<=50K,19.0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,31.0
Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,<=50K,34.0
Self-emp-not-inc,Assoc-acdm,Divorced,Exec-managerial,Not-in-family,White,Male,25,<=50K,
Self-emp-not-inc,9th,Married-civ-spouse,Transport-moving,Husband,White,Male,45,>50K,
Private,Assoc-voc,Divorced,Protective-serv,Not-in-family,Black,Male,40,<=50K,46.0
Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,White,Male,50,>50K,
Private,Bachelors,Never-married,Handlers-cleaners,Not-in-family,White,Male,40,<=50K,21.0
Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,Male,40,<=50K,26.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,55,>50K,
?,11th,Never-married,?,Unmarried,White,Female,40,<=50K,25.0
Private,HS-grad,Married-civ-spouse,Transport-moving,Husband,White,Male,60,<=50K,47.0
Private,11th,Separated,Machine-op-inspct,Not-in-family,White,Female,40,<=50K,46.0
Private,HS-grad,Never-married,Other-service,Unmarried,White,Female,40,<=50K,31.0
Private,Some-college,Never-married,Other-service,Own-child,White,Female,24,<=50K,26.0
Local-gov,Bachelors,Widowed,Prof-specialty,Unmarried,White,Female,6,<=50K,
Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Male,45,>50K,34.0
Self-emp-inc,Bachelors,Never-married,Adm-clerical,Own-child,White,Female,50,<=50K,26.0
Private,Assoc-voc,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,
Local-gov,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,40,>50K,
Private,Assoc-voc,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Male,45,<=50K,34.0
Private,HS-grad,Married-civ-spouse,Adm-clerical,Wife,White,Female,20,>50K,
Private,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,>50K,
Self-emp-not-inc,Prof-school,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,>50K,
Private,10th,Never-married,Machine-op-inspct,Not-in-family,White,Male,65,<=50K,37.0
Private,HS-grad,Married-civ-spouse,Tech-support,Husband,White,Male,38,>50K,35.0
Private,HS-grad,Never-married,Prof-specialty,Unmarried,White,Female,55,<=50K,21.0
Federal-gov,HS-grad,Never-married,Other-service,Own-child,Black,Male,40,<=50K,32.0
?,Prof-school,Married-civ-spouse,?,Husband,White,Male,35,>50K,
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,27.0
Private,9th,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,33.0
Private,Some-college,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,40,<=50K,28.0
Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,>50K,
Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,Female,40,<=50K,60.0
Private,HS-grad,Never-married,Sales,Own-child,White,Male,40,<=50K,31.0
Private,Some-college,Never-married,Other-service,Own-child,White,Female,40,<=50K,20.0
Self-emp-not-inc,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,60,<=50K,
Private,Bachelors,Never-married,Prof-specialty,Own-child,Asian-Pac-Islander,Male,40,<=50K,25.0
Self-emp-not-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,Amer-Indian-Eskimo,Male,60,<=50K,
Federal-gov,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,18,>50K,
Private,Some-college,Never-married,Sales,Not-in-family,Black,Female,36,<=50K,36.0
?,HS-grad,Separated,?,Not-in-family,White,Female,30,<=50K,36.0
Private,Some-college,Married-civ-spouse,Transport-moving,Husband,White,Male,40,<=50K,43.0
Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,Male,40,>50K,26.0
Local-gov,Some-college,Divorced,Tech-support,Not-in-family,White,Female,40,<=50K,46.0
?,Some-college,Married-civ-spouse,?,Husband,White,Male,40,<=50K,59.0
Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,40,<=50K,58.0
Private,HS-grad,Divorced,Transport-moving,Not-in-family,White,Male,65,<=50K,
Private,Bachelors,Never-married,Prof-specialty,Own-child,White,Female,40,<=50K,34.0
Private,10th,Never-married,Sales,Own-child,White,Female,15,<=50K,17.0
Self-emp-not-inc,Bachelors,Widowed,Sales,Unmarried,White,Female,40,<=50K,
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Wife,Black,Female,40,>50K,
Private,1st-4th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,40,<=50K,46.0
Private,Some-college,Married-civ-spouse,Tech-support,Husband,White,Male,40,>50K,48.0
Private,Some-college,Married-civ-spouse,Prof-specialty,Husband,White,Male,40,<=50K,38.0
Private,Assoc-acdm,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,<=50K,33.0
