age,education,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,income
21,Some-college,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,<=50K
51,Assoc-voc,Divorced,Adm-clerical,Not-in-family,Female,0,0,45,<=50K
37,HS-grad,Divorced,Machine-op-inspct,Unmarried,Female,0,0,40,<=50K
32,Some-college,Widowed,?,Not-in-family,Male,0,0,37,<=50K
50,HS-grad,Widowed,Exec-managerial,Unmarried,Female,0,0,40,<=50K
24,Assoc-acdm,Never-married,Adm-clerical,Not-in-family,Male,0,0,40,<=50K
37,Some-college,Married-civ-spouse,Farming-fishing,Husband,Male,3103,0,30,>50K
36,Some-college,Married-civ-spouse,Sales,Husband,Male,0,0,45,<=50K
73,Bachelors,Widowed,Adm-clerical,Not-in-family,Male,0,0,20,<=50K
36,Some-college,Divorced,Exec-managerial,Not-in-family,Male,0,0,50,<=50K
59,Some-college,Divorced,Sales,Unmarried,Female,0,0,30,<=50K
62,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,48,<=50K
58,Some-college,Divorced,Adm-clerical,Not-in-family,Female,0,0,40,<=50K
52,HS-grad,Divorced,Prof-specialty,Not-in-family,Female,0,0,50,<=50K
20,Some-college,Never-married,?,Own-child,Female,0,0,40,<=50K
19,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,0,0,40,<=50K
70,HS-grad,Widowed,?,Not-in-family,Female,0,0,10,<=50K
54,9th,Widowed,Priv-house-serv,Not-in-family,Female,0,0,40,<=50K
42,HS-grad,Divorced,Exec-managerial,Unmarried,Female,0,0,37,<=50K
50,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,72,<=50K
48,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,0,1887,40,>50K
35,Some-college,Never-married,Craft-repair,Not-in-family,Male,0,0,35,<=50K
45,HS-grad,Never-married,Other-service,Own-child,Male,0,0,40,<=50K
38,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,50,>50K
49,Masters,Never-married,Adm-clerical,Own-child,Male,0,0,40,<=50K
30,Some-college,Married-civ-spouse,Tech-support,Husband,Male,0,0,60,>50K
19,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,<=50K
52,Some-college,Never-married,Other-service,Not-in-family,Female,0,0,15,<=50K
60,Bachelors,Widowed,?,Not-in-family,Female,0,0,4,<=50K
52,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
27,HS-grad,Divorced,Craft-repair,Unmarried,Male,0,0,45,<=50K
49,Assoc-voc,Married-civ-spouse,Protective-serv,Husband,Male,0,0,70,<=50K
50,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
51,Assoc-acdm,Divorced,Other-service,Not-in-family,Male,0,0,40,<=50K
39,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,60,>50K
34,HS-grad,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
19,Some-college,Never-married,Adm-clerical,Own-child,Female,0,1206,45,<=50K
39,HS-grad,Divorced,Craft-repair,Not-in-family,Male,0,0,40,<=50K
50,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,0,0,40,<=50K
31,Some-college,Married-civ-spouse,?,Husband,Male,0,2603,50,>50K
41,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,1977,65,>50K
42,10th,Separated,Craft-repair,Not-in-family,Female,0,0,60,<=50K
54,Assoc-acdm,Divorced,Exec-managerial,Unmarried,Female,0,0,35,<=50K
46,Assoc-acdm,Separated,Adm-clerical,Unmarried,Male,0,0,40,<=50K
53,Some-college,Married-civ-spouse,Sales,Wife,Female,0,0,45,>50K
24,Assoc-acdm,Never-married,Exec-managerial,Own-child,Female,0,0,40,<=50K
60,11th,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,30,<=50K
48,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,Male,0,1485,40,>50K
21,Assoc-acdm,Married-civ-spouse,Transport-moving,Husband,Male,0,0,30,<=50K
53,Masters,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,47,>50K
50,HS-grad,Divorced,Exec-managerial,Not-in-family,Female,0,0,44,<=50K
78,Bachelors,Widowed,?,Not-in-family,Female,0,0,40,<=50K
22,HS-grad,Never-married,Craft-repair,Other-relative,Male,0,0,40,<=50K
42,Bachelors,Married-civ-spouse,Sales,Wife,Female,99999,0,40,>50K
39,Some-college,Never-married,Prof-specialty,Not-in-family,Male,0,0,40,<=50K
37,Bachelors,Married-civ-spouse,Craft-repair,Wife,Female,0,0,40,<=50K
40,Masters,Separated,Transport-moving,Not-in-family,Female,0,0,45,<=50K
19,Some-college,Never-married,?,Own-child,Male,0,0,20,<=50K
48,Bachelors,Divorced,Exec-managerial,Unmarried,Female,0,0,65,<=50K
42,10th,Divorced,Adm-clerical,Unmarried,Female,0,0,40,<=50K
65,5th-6th,Widowed,Other-service,Other-relative,Female,0,0,2,<=50K
30,HS-grad,Never-married,Other-service,Other-relative,Male,0,0,15,<=50K
45,HS-grad,Widowed,Other-service,Not-in-family,Female,0,0,50,<=50K
25,Bachelors,Never-married,Prof-specialty,Not-in-family,Male,0,0,60,<=50K
59,Bachelors,Married-civ-spouse,Prof-specialty,Wife,Female,0,0,30,>50K
48,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
50,9th,Married-civ-spouse,Other-service,Husband,Male,0,0,40,<=50K
55,HS-grad,Divorced,Other-service,Not-in-family,Female,0,0,46,<=50K
22,HS-grad,Never-married,Handlers-cleaners,Own-child,Male,0,0,20,<=50K
28,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,<=50K
44,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,>50K
28,HS-grad,Never-married,Sales,Not-in-family,Female,0,0,40,<=50K
67,Assoc-voc,Widowed,Protective-serv,Not-in-family,Male,6414,0,20,<=50K
48,Assoc-voc,Married-civ-spouse,?,Husband,Male,2464,0,45,<=50K
30,Masters,Never-married,Other-service,Not-in-family,Male,0,0,20,<=50K
71,HS-grad,Married-civ-spouse,Tech-support,Husband,Male,3173,0,40,>50K
36,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,15024,0,40,>50K
27,Some-college,Never-married,Machine-op-inspct,Own-child,Female,0,0,20,<=50K
31,Bachelors,Never-married,Transport-moving,Not-in-family,Male,0,0,52,<=50K
47,Some-college,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,32,>50K
37,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Male,3962,0,40,<=50K
19,11th,Never-married,Sales,Own-child,Male,0,0,20,<=50K
67,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,10,<=50K
28,Bachelors,Never-married,Prof-specialty,Own-child,Female,0,0,40,<=50K
37,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,<=50K
55,HS-grad,Divorced,Machine-op-inspct,Not-in-family,Male,0,0,45,<=50K
35,Bachelors,Married-civ-spouse,Craft-repair,Husband,Male,0,0,40,<=50K
21,11th,Never-married,Other-service,Not-in-family,Male,0,0,60,<=50K
40,Some-college,Married-civ-spouse,Protective-serv,Husband,Male,0,0,56,<=50K
49,Doctorate,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,40,>50K
33,HS-grad,Never-married,Craft-repair,Not-in-family,Male,0,0,40,<=50K
35,Bachelors,Never-married,Craft-repair,Not-in-family,Male,0,0,40,<=50K
44,Bachelors,Married-civ-spouse,Tech-support,Husband,Male,0,0,45,<=50K
59,Assoc-voc,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,>50K
53,Bachelors,Divorced,Sales,Not-in-family,Male,0,0,50,<=50K
19,HS-grad,Never-married,Sales,Other-relative,Female,0,0,45,<=50K
44,Bachelors,Widowed,Exec-managerial,Not-in-family,Male,0,0,45,<=50K
64,Some-college,Divorced,Prof-specialty,Not-in-family,Female,0,0,20,<=50K
35,9th,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,40,<=50K
75,HS-grad,Divorced,Craft-repair,Not-in-family,Male,0,0,40,<=50K
28,Some-college,Never-married,Other-service,Own-child,Female,0,0,30,<=50K
35,Some-college,Never-married,?,Not-in-family,Male,99999,0,65,>50K
42,HS-grad,Married-civ-spouse,Handlers-cleaners,Husband,Male,0,0,40,>50K
47,11th,Married-civ-spouse,Priv-house-serv,Wife,Female,0,0,35,<=50K
37,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Male,0,0,42,<=50K
36,Some-college,Married-civ-spouse,Craft-repair,Husband,Male,0,0,50,<=50K
28,5th-6th,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,85,<=50K
29,Assoc-acdm,Never-married,Exec-managerial,Not-in-family,Male,0,0,40,<=50K
