age,education,marital_status,occupation,relationship,sex,capital_gain,capital_loss,hours_per_week,income
30,Bachelors,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,45,>50K
26,5th-6th,Married-civ-spouse,Craft-repair,Husband,Male,0,1628,50,<=50K
66,11th,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,40,<=50K
17,11th,Never-married,Other-service,Other-relative,Female,0,0,22,<=50K
39,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,50,>50K
28,HS-grad,Never-married,Machine-op-inspct,Unmarried,Female,0,0,40,<=50K
41,HS-grad,Never-married,Machine-op-inspct,Own-child,Female,1831,0,40,<=50K
22,Some-college,Never-married,Adm-clerical,Own-child,Female,0,0,40,<=50K
41,HS-grad,Married-civ-spouse,Sales,Other-relative,Female,0,0,40,<=50K
26,11th,Separated,Other-service,Unmarried,Female,0,0,20,<=50K
51,7th-8th,Married-civ-spouse,Transport-moving,Husband,Male,0,0,40,<=50K
27,5th-6th,Married-civ-spouse,Other-service,Husband,Male,0,0,52,<=50K
46,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Male,0,0,40,>50K
35,Some-college,Divorced,Adm-clerical,Unmarried,Female,0,0,40,<=50K
58,HS-grad,Married-civ-spouse,Sales,Husband,Male,0,0,35,>50K
56,Some-college,Married-civ-spouse,Exec-managerial,Husband,Male,0,0,35,>50K
30,HS-grad,Divorced,Adm-clerical,Unmarried,Female,0,0,40,<=50K
30,Bachelors,Never-married,Exec-managerial,Own-child,Male,0,0,43,<=50K
41,Assoc-voc,Married-civ-spouse,Adm-clerical,Husband,Male,7298,0,40,>50K
24,HS-grad,Divorced,Sales,Unmarried,Female,0,0,30,<=50K
27,Some-college,Never-married,Machine-op-inspct,Own-child,Male,0,0,40,<=50K
26,Some-college,Never-married,Adm-clerical,Not-in-family,Female,0,0,45,<=50K
39,Bachelors,Never-married,Exec-managerial,Not-in-family,Female,0,0,40,<=50K
55,HS-grad,Married-spouse-absent,?,Unmarried,Female,0,0,40,<=50K
40,Some-college,Divorced,Exec-managerial,Not-in-family,Female,0,0,40,<=50K
35,Masters,Married-civ-spouse,Sales,Husband,Male,0,0,40,>50K
29,11th,Divorced,Machine-op-inspct,Unmarried,Female,0,0,40,<=50K
31,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Male,0,0,40,<=50K
67,HS-grad,Married-civ-spouse,Farming-fishing,Husband,Male,0,0,55,<=50K
23,Assoc-acdm,Never-married,Sales,Own-child,Female,0,0,36,<=50K
26,Some-college,Never-married,Adm-clerical,Not-in-family,Male,0,0,30,<=50K
21,HS-grad,Never-married,Other-service,Own-child,Male,0,0,40,<=50K
24,Some-college,Married-civ-spouse,Sales,Husband,Male,0,2057,45,<=50K
36,HS-grad,Married-civ-spouse,Craft-repair,Husband,Male,0,0,45,<=50K
33,7th-8th,Separated,Handlers-cleaners,Not-in-family,Male,0,0,35,<=50K
