card_id,disposition_id,type,issued
1005,9285,classic,1993-11-07
104,588,classic,1994-01-19
747,4915,classic,1994-02-05
70,439,classic,1994-02-08
577,3687,classic,1994-02-15
377,2429,classic,1994-03-03
721,4680,junior,1994-04-05
437,2762,classic,1994-06-01
188,1146,classic,1994-06-19
13,87,classic,1994-06-29
732,4763,classic,1994-07-21
181,1066,classic,1994-08-19
384,2475,junior,1994-09-15
309,1946,classic,1994-09-19
478,3084,classic,1994-10-09
563,3589,classic,1994-10-21
369,2363,classic,1994-11-08
376,2428,classic,1994-11-10
483,3115,classic,1994-11-24
174,1039,junior,1994-12-04
658,4251,classic,1994-12-25
763,5138,junior,1994-12-30
778,5275,classic,1995-01-02
1039,9837,classic,1995-01-07
477,3082,junior,1995-01-16
168,1018,classic,1995-01-24
314,1999,junior,1995-01-27
468,3023,classic,1995-01-30
208,1246,gold,1995-02-08
766,5200,classic,1995-02-11
464,2984,classic,1995-02-21
497,3184,classic,1995-03-03
166,999,classic,1995-03-05
15,114,classic,1995-03-05
503,3225,classic,1995-03-08
1038,9787,junior,1995-03-30
737,4791,classic,1995-04-13
418,2623,classic,1995-04-14
759,5117,junior,1995-04-18
223,1353,classic,1995-04-18
5,51,junior,1995-04-24
159,946,classic,1995-05-01
1223,13231,junior,1995-05-02
662,4293,classic,1995-05-09
779,5323,junior,1995-05-21
1040,9890,junior,1995-05-28
545,3458,classic,1995-05-30
467,3019,classic,1995-06-05
1247,13660,classic,1995-06-13
652,4211,classic,1995-06-16
559,3573,classic,1995-06-17
719,4663,classic,1995-06-24
397,2513,classic,1995-06-24
107,593,classic,1995-06-27
661,4270,classic,1995-07-03
484,3116,classic,1995-07-04
501,3197,classic,1995-07-09
422,2650,junior,1995-07-11
705,4555,classic,1995-07-12
410,2569,classic,1995-07-20
136,778,classic,1995-07-28
592,3782,junior,1995-08-07
262,1647,junior,1995-08-24
18,128,classic,1995-08-25
3,41,gold,1995-09-03
98,537,classic,1995-09-06
167,1011,classic,1995-09-15
97,531,junior,1995-09-19
699,4532,classic,1995-09-26
342,2157,classic,1995-09-27
713,4627,classic,1995-09-30
118,652,classic,1995-10-22
783,5433,junior,1995-10-24
1103,11189,classic,1995-11-04
504,3230,junior,1995-11-06
261,1629,gold,1995-11-09
296,1876,gold,1995-11-13
113,629,junior,1995-11-16
92,508,classic,1995-11-20
1225,13268,classic,1995-11-22
393,2498,junior,1995-12-03
695,4507,classic,1995-12-15
666,4328,junior,1995-12-25
462,2978,classic,1995-12-30
85,489,classic,1995-12-31
337,2141,classic,1996-01-01
771,5233,classic,1996-01-08
379,2431,classic,1996-01-12
