trans_id,account_id,date,type,operation,amount,balance,k_symbol,bank
695247,2378,1993-01-01,PRIJEM,VKLAD,700.0,700.0,,
171812,576,1993-01-01,PRIJEM,VKLAD,900.0,900.0,,
207264,704,1993-01-01,PRIJEM,VKLAD,1000.0,1000.0,,
1117247,3818,1993-01-01,PRIJEM,VKLAD,600.0,600.0,,
579373,1972,1993-01-02,PRIJEM,VKLAD,400.0,400.0,,
771035,2632,1993-01-02,PRIJEM,VKLAD,1100.0,1100.0,,
452728,1539,1993-01-03,PRIJEM,VKLAD,600.0,600.0,,
725751,2484,1993-01-03,PRIJEM,VKLAD,1100.0,1100.0,,
497211,1695,1993-01-03,PRIJEM,VKLAD,200.0,200.0,,
232960,793,1993-01-03,PRIJEM,VKLAD,800.0,800.0,,
505240,1726,1993-01-03,PRIJEM,VKLAD,1000.0,1000.0,,
144541,485,1993-01-04,PRIJEM,VKLAD,300.0,300.0,,
637741,2177,1993-01-04,PRIJEM,VKLAD,800.0,800.0,,
689827,2357,1993-01-04,PRIJEM,VKLAD,800.0,800.0,,
846006,2881,1993-01-04,PRIJEM,VKLAD,700.0,700.0,,
637742,2177,1993-01-05,PRIJEM,PREVOD Z UCTU,5123.0,5923.0,DUCHOD,YZ
2908688,9635,1993-01-05,PRIJEM,VKLAD,400.0,400.0,,
232961,793,1993-01-05,PRIJEM,PREVOD Z UCTU,3401.0,4201.0,,IJ
192096,652,1993-01-05,PRIJEM,VKLAD,700.0,700.0,,
542215,1844,1993-01-06,PRIJEM,VKLAD,500.0,500.0,,
565654,1926,1993-01-06,PRIJEM,VKLAD,700.0,700.0,,
542216,1844,1993-01-07,PRIJEM,PREVOD Z UCTU,3242.0,3742.0,,ST
1027725,3510,1993-01-07,PRIJEM,VKLAD,500.0,500.0,,
374589,1276,1993-01-07,PRIJEM,VKLAD,400.0,400.0,,
579374,1972,1993-01-07,PRIJEM,PREVOD Z UCTU,5298.0,5698.0,DUCHOD,UV
699220,2393,1993-01-07,PRIJEM,VKLAD,900.0,900.0,,
129502,435,1993-01-08,PRIJEM,VKLAD,400.0,400.0,,
374590,1276,1993-01-08,PRIJEM,VKLAD,6774.0,7174.0,,
57433,192,1993-01-08,PRIJEM,VKLAD,300.0,300.0,,
497212,1695,1993-01-08,PRIJEM,VKLAD,11832.0,12032.0,,
621760,2122,1993-01-08,PRIJEM,VKLAD,300.0,300.0,,
480214,1637,1993-01-08,PRIJEM,VKLAD,500.0,500.0,,
612392,2087,1993-01-08,PRIJEM,VKLAD,600.0,600.0,,
224342,764,1993-01-08,PRIJEM,VKLAD,1100.0,1100.0,,
1049881,3592,1993-01-08,PRIJEM,VKLAD,600.0,600.0,,
1132662,3871,1993-01-08,PRIJEM,VKLAD,300.0,300.0,,
1021120,3487,1993-01-08,PRIJEM,VKLAD,800.0,800.0,,
439035,1493,1993-01-09,PRIJEM,VKLAD,200.0,200.0,,
110534,374,1993-01-09,PRIJEM,VKLAD,400.0,400.0,,
771036,2632,1993-01-09,PRIJEM,VKLAD,14264.0,15364.0,,
506450,1730,1993-01-09,PRIJEM,VKLAD,900.0,900.0,,
192097,652,1993-01-09,PRIJEM,VKLAD,13851.0,14551.0,,
1117248,3818,1993-01-09,PRIJEM,VKLAD,17366.0,17966.0,,
695720,2379,1993-01-10,PRIJEM,VKLAD,800.0,800.0,,
857973,2925,1993-01-10,PRIJEM,VKLAD,1000.0,1000.0,,
477638,1628,1993-01-10,PRIJEM,VKLAD,700.0,700.0,,
1049882,3592,1993-01-10,PRIJEM,PREVOD Z UCTU,6007.0,6607.0,DUCHOD,MN
