age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
56,Private,187674,HS-grad,9,Never-married,Transport-moving,Not-in-family,White,Male,0,0,50,United-States,<=50K
59,Private,181053,Some-college,10,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,40,United-States,>50K
48,?,127156,11th,7,Widowed,?,Unmarried,Other,Female,0,0,3,United-States,>50K
74,Self-emp-not-inc,35005,Masters,14,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,20,United-States,<=50K
53,Private,35152,7th-8th,4,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,45,United-States,>50K
41,Self-emp-not-inc,55989,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,60,United-States,>50K
33,Private,187581,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,0,0,15,United-States,<=50K
50,Private,198940,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,99,United-States,>50K
42,State-gov,99002,Some-college,10,Never-married,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,0,0,37,United-States,<=50K
59,Private,78620,7th-8th,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
38,Private,274866,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,68,United-States,>50K
35,Private,290276,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
47,Private,223861,Some-college,10,Married-spouse-absent,Sales,Not-in-family,White,Female,0,0,25,United-States,<=50K
33,Private,210469,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,285966,Assoc-voc,11,Divorced,Machine-op-inspct,Not-in-family,White,Male,2174,0,50,United-States,<=50K
46,Private,153255,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Other,Male,0,0,40,Mexico,<=50K
64,Self-emp-not-inc,102676,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,60,United-States,<=50K
20,?,240544,Some-college,10,Never-married,?,Own-child,White,Male,0,0,14,United-States,<=50K
43,Private,32692,Some-college,10,Divorced,Other-service,Not-in-family,White,Male,0,0,50,United-States,>50K
48,Private,33359,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,36,United-States,>50K
40,Private,235777,Assoc-acdm,12,Divorced,Sales,Own-child,White,Female,0,0,48,United-States,>50K
