age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
31,Private,119040,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,1080,40,United-States,<=50K
51,?,27067,Some-college,10,Divorced,?,Other-relative,White,Male,0,0,40,United-States,<=50K
33,Private,148989,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,50,United-States,<=50K
44,Private,271359,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,1900,40,Mexico,<=50K
64,Private,174186,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,70,United-States,<=50K
43,Private,67813,Masters,14,Divorced,Farming-fishing,Own-child,White,Female,0,0,40,United-States,<=50K
36,Private,88247,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,4194,0,34,United-States,>50K
23,Private,337650,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,40,United-States,<=50K
50,Self-emp-not-inc,127858,HS-grad,9,Married-civ-spouse,_RARE_,Husband,White,Male,0,0,40,United-States,<=50K
66,Local-gov,126909,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,35,United-States,<=50K
67,Private,193688,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
24,Private,275240,Bachelors,14,Married-civ-spouse,Handlers-cleaners,Husband,Asian-Pac-Islander,Male,0,0,50,United-States,>50K
42,Private,425786,Bachelors,14,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,1980,40,United-States,>50K
23,Private,276601,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,28,United-States,<=50K
41,Private,236964,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,40,United-States,<=50K
29,Private,119622,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,68,United-States,<=50K
31,Private,259882,_RARE_,4,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,84,United-States,<=50K
30,Local-gov,186402,Some-college,10,Married-civ-spouse,?,Husband,White,Male,0,0,40,United-States,<=50K
44,Private,137380,Some-college,10,Divorced,Tech-support,Own-child,White,Female,0,0,40,United-States,>50K
34,Private,161817,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,11,United-States,<=50K
61,?,27067,_RARE_,6,_RARE_,Other-service,Not-in-family,Asian-Pac-Islander,Male,0,0,40,United-States,<=50K
41,Private,43285,Bachelors,13,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
23,Private,28984,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,40,United-States,<=50K
29,Private,290956,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,10,United-States,<=50K
32,Self-emp-not-inc,126544,Bachelors,13,Divorced,Other-service,Other-relative,White,Male,14344,0,40,United-States,>50K
24,Private,289987,HS-grad,9,Never-married,Other-service,Unmarried,Black,Female,0,0,28,United-States,<=50K
43,Private,389635,Some-college,10,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,35,United-States,<=50K
25,Private,240837,Some-college,10,Never-married,Farming-fishing,Own-child,White,Female,0,0,40,United-States,<=50K
66,State-gov,181923,Bachelors,11,Divorced,Prof-specialty,Not-in-family,White,Female,0,0,48,United-States,<=50K
20,Private,267140,Bachelors,13,Never-married,Machine-op-inspct,Unmarried,White,Female,0,0,32,United-States,<=50K
43,Local-gov,284183,Prof-school,15,Never-married,Exec-managerial,Not-in-family,White,Female,0,0,40,United-States,<=50K
45,Private,127403,Assoc-voc,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,_RARE_,<=50K
64,Local-gov,189444,HS-grad,9,Divorced,Sales,Not-in-family,White,Female,0,0,35,United-States,>50K
20,Private,89467,Bachelors,13,Never-married,Prof-specialty,Other-relative,White,Male,0,0,40,United-States,<=50K
44,Private,283165,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,50,United-States,>50K
50,Private,144027,HS-grad,9,Divorced,Tech-support,Not-in-family,White,Female,0,0,34,_RARE_,<=50K
57,Private,391973,10th,6,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,4004,0,45,United-States,>50K
43,Private,215040,Masters,14,Married-civ-spouse,Other-service,Husband,White,Male,0,0,40,United-States,<=50K
